カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1vatiaGdUSGP-uCYg6xabFzYXfcMM8ILg
BT1-001,Pyokomon_BT1_001,133,,,
BT1-002,Bebidramon_BT1_002,134,,,
BT1-003,Upamon_BT1_003,135,,,
BT1-003_P1,Upamon_BT1_003,136,,,
BT1-003_P2,Upamon_BT1_003,137,,,
BT1-004,Wanyamon_BT1_004,138,,,
BT1-005,Kyaromon_BT1_005,139,,,
BT1-006,Kyupimon_BT1_006,140,,,
BT1-007,Tanemon_BT1_007,141,,,
BT1-008,Furimon_BT1_008,142,,,
BT1-009,,143,,,
BT1-009_P1,,144,,,
BT1-010,Agumon_BT1_010,145,,,
BT1-010_P1,Agumon_BT1_010,146,,,
BT1-010_P2,Agumon_BT1_010,147,,,
BT1-010_P3,Agumon_BT1_010,148,,,
BT1-011,DrAgumon_BT1_011,149,,,
BT1-012,Piyomon_BT1_012,150,,,
BT1-013,,151,,,
BT1-014,,152,,,
BT1-015,Greymon_BT1_015,153,,,
BT1-015_P1,Greymon_BT1_015,154,,,
BT1-016,Tiranomon_BT1_016,155,,,
BT1-017,Birdramon_BT1_017,156,,,
BT1-018,Flarerizamon_BT1_018,157,,,
BT1-019,,158,,,
BT1-019_P1,,159,,,
BT1-020,,160,,,
BT1-020_P1,,161,,,
BT1-021,Metalgreymon_BT1_021,162,,,
BT1-022,Garudamon_BT1_022,163,,,
BT1-023,Skullgreymon_BT1_023,164,,,
BT1-023_P1,Skullgreymon_BT1_023,165,,,
BT1-024,,166,,,
BT1-025,Wargreymon_BT1_025,167,,,
BT1-025_P1,Wargreymon_BT1_025,168,,,
BT1-025_P2,Wargreymon_BT1_025,169,,,
BT1-025_P3,Wargreymon_BT1_025,170,,,
BT1-026,Breakdramon_BT1_026,171,,,
BT1-027,,172,,,
BT1-028,,173,,,
BT1-028_P1,,174,,,
BT1-029,Gabumon_BT1_029,175,,,
BT1-029_P1,Gabumon_BT1_029,176,,,
BT1-029_P2,Gabumon_BT1_029,177,,,
BT1-029_P3,Gabumon_BT1_029,178,,,
BT1-029_P4,Gabumon_BT1_029,179,,,
BT1-030,Gomamon_BT1_030,180,,,
BT1-031,Koemon_BT1_031,181,,,
BT1-032,Tiranomon_BT1_016,182,,,
BT1-033,Lucamon_BT1_033,183,,,
BT1-034,Ikkakumon_BT1_034,184,,,
BT1-035,Leomon_BT1_035,185,,,
BT1-036,Garurumon_BT1_036,186,,,
BT1-037,,187,,,
BT1-037_P1,,188,,,
BT1-038,,189,,,
BT1-038_P1,,190,,,
BT1-038_P2,,191,,,
BT1-038_P3,,192,,,
BT1-039,Keruberomon_BT1_039,193,,,
BT1-040,Metalgreymon_BT1_021,194,,,
BT1-041,Zudomon_BT1_041,195,,,
BT1-042,,196,,,
BT1-043,Savelleomon_BT1_043,197,,,
BT1-044,Metalgarurumon_BT1_044,198,,,
BT1-044_P1,Metalgarurumon_BT1_044,199,,,
BT1-045,,200,,,
BT1-045_P1,,201,,,
BT1-046,Kudamon_BT1_046,202,,,
BT1-047,,203,,,
BT1-048,Patamon_BT1_048,204,,,
BT1-048_P1,Patamon_BT1_048,205,,,
BT1-049,Labramon_BT1_049,206,,,
BT1-050,,207,,,
BT1-051,,208,,,
BT1-052,Tiranomon_BT1_016,209,,,
BT1-053,Darkmon_BT1_053,210,,,
BT1-054,Laiamon_BT1_054,211,,,
BT1-055,Angemon_BT1_055,212,,,
BT1-056,Petermon_BT1_056,213,,,
BT1-057,,214,,,
BT1-057_P1,,215,,,
BT1-058,Metalgreymon_BT1_021,216,,,
BT1-059,,217,,,
BT1-060,Holyangemon_BT1_060,218,,,
BT1-060_P1,Holyangemon_BT1_060,219,,,
BT1-060_P2,Holyangemon_BT1_060,220,,,
BT1-061,Mistymon_BT1_061,221,,,
BT1-062,Slashangemon_BT1_062,222,,,
BT1-062_P1,Slashangemon_BT1_062,223,,,
BT1-062_P2,Slashangemon_BT1_062,224,,,
BT1-063,Seraphimon_BT1_063,225,,,
BT1-063_P1,Seraphimon_BT1_063,226,,,
BT1-064,,227,,,
