カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1NqqTQl2d7A5vWj68vR2MM8EimtgsHtxa
BT10-001,Puchimeramon_BT10_001,2031,,,
BT10-002,Bebidramon_BT10_002,2032,,,
BT10-003,Pickmons_BT10_003,2033,,,
BT10-003_P1,Pickmons_BT10_003,2034,,,
BT10-003_P2,Pickmons_BT10_003,2035,,,
BT10-004,Bosamon_BT10_004,2036,,,
BT10-005,Monimon_BT10_005,2037,,,
BT10-006,Tokomon_BT10_006,2038,,,
BT10-007,Dondokomon_BT10_007,2039,,,
BT10-008,Shoutmon_BT10_008,2040,,,
BT10-009,ShoutmonX4_BT10_009,2041,,,
BT10-010,,2042,,,
BT10-011,Kanovaismon_BT10_011,2043,,,
BT10-011_P1,Kanovaismon_BT10_011,2044,,,
BT10-012,ShoutmonX4B_BT10_012,2045,,,
BT10-013,ShoutmonX5_BT10_013,2046,,,
BT10-013_P1,ShoutmonX5_BT10_013,2047,,,
BT10-014,Pilevolcamon_BT10_014,2048,,,
BT10-015,ShoutmonX5B_BT10_015,2049,,,
BT10-016,JiesmonXAntibody_BT10_016,2050,,,
BT10-016_P1,JiesmonXAntibody_BT10_016,2051,,,
BT10-017,,2052,,,
BT10-018,Gaosmon_BT10_018,2053,,,
BT10-019,Greymon_BT10_019,2054,,,
BT10-020,Dekkerdramon_BT10_020,2055,,,
BT10-021,Malebirdramon_BT10_021,2056,,,
BT10-022,,2057,,,
BT10-023,Tetismon_BT10_023,2058,,,
BT10-023_P1,Tetismon_BT10_023,2059,,,
BT10-024,Metalgreymon_BT10_024,2060,,,
BT10-024_P1,Metalgreymon_BT10_024,2061,,,
BT10-025,Cyberdramon_BT10_025,2062,,,
BT10-026,Dekkergreymon_BT10_026,2063,,,
BT10-026_P1,Dekkergreymon_BT10_026,2064,,,
BT10-027,Regarexmon_BT10_027,2065,,,
BT10-028,Canondramon_BT10_028,2066,,,
BT10-029,Starmons_BT10_029,2067,,,
BT10-030,Tinkermon_BT10_030,2068,,,
BT10-031,Pulsemon_BT10_031,2069,,,
BT10-032,Renamon_BT10_032,2070,,,
BT10-033,,2071,,,
BT10-034,Dorurumon_BT10_034,2072,,,
BT10-035,Darkmon_BT10_035,2073,,,
BT10-036,Kyuubimon_BT10_036,2074,,,
BT10-037,,2075,,,
BT10-038,Sanzomon_BT10_038,2076,,,
BT10-039,Taomon_BT10_039,2077,,,
BT10-040,Akireusumon_BT10_040,2078,,,
BT10-041,SakuyamonMikoMode_BT10_041,2079,,,
BT10-041_P1,SakuyamonMikoMode_BT10_041,2080,,,
BT10-042,Wenusumon_BT10_042,2081,,,
BT10-042_P1,Wenusumon_BT10_042,2082,,,
BT10-043,,2083,,,
BT10-044,Angoramon_BT10_044,2084,,,
BT10-044_P1,Angoramon_BT10_044,2085,,,
BT10-045,Kokuwamon_BT10_045,2086,,,
BT10-046,Parumon_BT10_046,2087,,,
BT10-047,,2088,,,
BT10-048,Sunflowermon_BT10_048,2089,,,
BT10-049,Baristamon_BT10_049,2090,,,
BT10-050,Wezngammamon_BT10_050,2091,,,
BT10-051,Jimberangoramon_BT10_051,2092,,,
BT10-052,Jureimon_BT10_052,2093,,,
BT10-053,Ayataramon_BT10_053,2094,,,
