カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1-dWxcLv6gju4qODDp1baCXyL7lRdw-D4,,,
BT11-001,Pyokomon_BT11_001,2268,,,,,,
BT11-002,Wanyamon_BT11_002,2269,,,,,,
BT11-003,Tokomon_BT11_003,2270,,,,,,
BT11-004,Tanemon_BT11_004,2271,,,,,,
BT11-005,Koromon_BT11_005,2272,,,,,,
BT11-006,Tsunomon_BT11_006,2273,,,,,,
BT11-007,Piyomon_BT11_007,2274,,,,,,
BT11-008,Bearmon_BT11_008,2275,,,,,,
BT11-009,ShoutmonStarSword_BT11_009,2276,,,,,,
BT11-010,Grizmon_BT11_010,2277,,,,,,
BT11-011,Birdramon_BT11_011,2278,,,,,, 
BT11-012,ShoutmonX3_BT11_012,2279,,,,,,
BT11-013,Birdramon_BT11_011,2280,,,,,,
BT11-014,Grapleomon_BT11_014,2281,,,,,,
BT11-015,Omegashoutmon_BT11_015,2282,,,,,,
BT11-016,Hoohmon_BT11_016,2283,,,,,,
BT11-016_P1,Hoohmon_BT11_016,2284,,,,,,
BT11-017,Marsmon_BT11_017,2285,,,,,,
BT11-017_P1,Marsmon_BT11_017,2286,,,,,,
BT11-018,ShoutmonDX_BT11_018,2287,,,,,,
BT11-019,ShoutmonX7_BT11_019,2288,,,,,,
BT11-019_P1,ShoutmonX7_BT11_019,2289,,,,,,
BT11-020,Gaomon_BT11_020,2290,,,,,,
BT11-021,,2291,,,,,,
BT11-022,Dracomon_BT11_022,2292,,,,,,
BT11-023,Veemon_BT11_023,2293,,,,,,
BT11-024,Penmon_BT11_024,2294,,,,,,
BT11-025,Gaogamon_BT11_025,2295,,,,,,
BT11-026,,2296,,,,,,
BT11-027,Vdramon_BT11_027,2297,,,,,,
BT11-028,Mahhagaogamon_BT11_028,2298,,,,,,
BT11-029,Airovdramon_BT11_029,2299,,,,,,
BT11-030,MetalgreymonCyberLauncher_BT11_030,2300,,,,,,
BT11-031,Geekgreymon_BT11_031,2301,,,,,,
BT11-032,Alforsevdramon_BT11_032,2302,,,,,,
BT11-032_P1,Alforsevdramon_BT11_032,2303,,,,,,
BT11-033,Miragegaogamon_BT11_033,2304,,,,,,
BT11-033_P1,Miragegaogamon_BT11_033,2305,,,,,,
BT11-034,Cutemon_BT11_034,2306,,,,,,
BT11-035,,2307,,,,,,
BT11-036,Chumon_BT11_036,2308,,,,,,
BT11-037,Piyomon_ST7_04,2309,,,,,,
BT11-038,Angemon_BT11_038,2310,,,,,,
BT11-039,Kentarumon_BT11_039,2311,,,,,,
BT11-040,Sukamon_BT11_040,2312,,,,,,
BT11-041,Etemon_BT11_041,2313,,,,,,
BT11-042,Angewomon_BT11_042,2314,,,,,,
BT11-042_P1,Angewomon_BT11_042,2315,,,,,,
BT11-043,Sukamonking_BT11_043,2316,,,,,,
BT11-044,Metaletemon_BT11_044,2317,,,,,,
BT11-045,Clavisangemon_BT11_045,2318,,,,,,
