カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1u4-1Yabihgm6JYXSoXVWoX08Ns8YxVvk,,,
BT12-001,Gigimon_BT12_001,2398,,,,,,
BT12-001_P1,Gigimon_BT12_001,2399,,,,,,
BT12-002,Chibimon_BT12_002,2400,,,,,,
BT12-003,Koromon_BT12_003,2401,,,,,,
BT12-004,TorikaraBallmon_BT12_004,2402,,,,,,
BT12-005,Kozenimon_BT12_005,2403,,,,,,
BT12-006,Monimon_BT12_006,2404,,,,,,
BT12-007,Gilmon_BT12_007,2405,,,,,,
BT12-007_P1,Gilmon_BT12_007,2406,,,,,,
BT12-008,Shoutmon_BT12_008,2407,,,,,,
BT12-009,Flaemon_BT12_009,2408,,,,,, 
BT12-010,Graumon_BT12_010,2409,,,,,,
BT12-010_P1,Graumon_BT12_010,2410,,,,,,
BT12-011,ShoutmonKingVer_BT12_011,2411,,,,,,
BT12-011_P1,ShoutmonKingVer_BT12_011,2412,,,,,,
BT12-011_P2,ShoutmonKingVer_BT12_011,2413,,,,,,
BT12-011_P3,ShoutmonKingVer_BT12_011,2414,,,,,,
BT12-012,Agnimon_BT12_012,2415,,,,,,
BT12-013,Vritramon_BT12_013,2416,,,,,,
BT12-014,OmegaShoutmon_BT12_014,2417,,,,,,
BT12-014_P1,OmegaShoutmon_BT12_014,2418,,,,,,
BT12-015,Ardamon_BT12_015,2419,,,,,,
BT12-016,Megarograumon_BT12_016,2420,,,,,,
BT12-016_P1,Megarograumon_BT12_016,2421,,,,,,
BT12-017,Kaisergreymon_BT12_017,2422,,,,,,
BT12-017_P1,Kaisergreymon_BT12_017,2423,,,,,,
BT12-018,Dukemon_BT12_018,2424,,,,,,
BT12-018_P1,Dukemon_BT12_018,2425,,,,,,
BT12-018_P2,Dukemon_BT12_018,2426,,,,,,
BT12-019,Otamamon_BT12_019,2427,,,,,,
BT12-020,,2428,,,,,,
BT12-021,Veemon_BT12_021,2429,,,,,,
BT12-022,Exveemon_BT12_022,2430,,,,,,
BT12-023,Otamamon_BT12_019,2431,,,,,,
BT12-024,Lanamon_BT12_024,2432,,,,,,
BT12-025,Calmaramon_BT12_025,2433,,,,,,
BT12-026,Tonosamagekomon_BT12_026,2434,,,,,,
BT12-027,Mameimon_BT12_027,2435,,,,,,
BT12-028,Piledramon_BT12_028,2436,,,,,,
BT12-029,Alforseveedramon_BT12_029,2437,,,,,,
BT12-029_P1,Alforseveedramon_BT12_029,2438,,,,,,
BT12-030,ImperialdramonDragonMode_BT12_030,2439,,,,,,
BT12-031,ImperialdramonFighterMode_BT12_031,2440,,,,,,
BT12-031_P1,ImperialdramonFighterMode_BT12_031,2441,,,,,,
BT12-032,Ancientmarmeimon_BT12_032,2442,,,,,,
BT12-033,,2443,,,,,,
BT12-034,Agumon_BT12_034,2444,,,,,,
BT12-035,Ekakimon_BT12_035,2445,,,,,,
BT12-036,Kokuwamon_BT10_045,2446,,,,,,
BT12-037,Opossamon_BT12_037,2447,,,,,,
BT12-038,Geogreymon_BT12_038,2448,,,,,,
BT12-039,Gokuumon_BT12_039,2449,,,,,,
BT12-040,Gokuumon_BT12_039,2450,,,,,,
BT12-041,Chohakkaimon_BT12_041,2451,,,,,,
BT12-041_P1,Chohakkaimon_BT12_041,2452,,,,,,
BT12-042,Risegreymon_BT12_042,2453,,,,,,
BT12-043,Shinegreymon_BT12_043,2454,,,,,,
BT12-043_P1,Shinegreymon_BT12_043,2455,,,,,,
BT12-044,Lampmon_BT12_044,2456,,,,,,
BT12-045,Ebiburgermon_BT12_045,2457,,,,,,
BT12-046,,2458,,,,,,
BT12-047,Wormmon_BT12_047,2459,,,,,,
BT12-048,Dracmon_BT12_048,2460,,,,,,
BT12-049,Koemon_BT1_031,2461,,,,,,
BT12-050,Stingmon_BT12_050,2462,,,,,,
BT12-051,Yashamon_BT12_051,2463,,,,,,
BT12-051_P1,Yashamon_BT12_051,2464,,,,,,
BT12-052,,2465,,,,,,
BT12-053,Metarifekuwagamon_BT12_053,2466,,,,,,
BT12-054,Jagamon_BT12_054,2467,,,,,,
BT12-055,Dinobeemon_BT12_055,2468,,,,,,
BT12-056,Grankuwagamon_BT12_056,2469,,,,,,
BT12-057,Quartzmon_BT12_057,2470,,,,,,
BT12-057_P1,Quartzmon_BT12_057,2471,,,,,,
BT12-058,Zenimon_BT12_058,2472,,,,,,
BT12-059,Agumon_BT12_059,2473,,,,,,
BT12-060,Chuchumon_BT12_060,2474,,,,,,
BT12-061,Ganemon_BT12_061,2475,,,,,,
BT12-062,Greymon_BT12_062,2476,,,,,,
BT12-063,Damemon_BT12_063,2477,,,,,,
BT12-064,Tsuwamon_BT12_064,2478,,,,,,
BT12-064_P1,Tsuwamon_BT12_064,2479,,,,,,
BT12-065,Sefirotomon_BT12_065,2480,,,,,,
BT12-066,Melkyuremon_BT12_066,2481,,,,,,
BT12-067,Betsumon_BT12_067,2482,,,,,,
BT12-068,Metalgreymon_BT12_068,2483,,,,,,
BT12-069,,2484,,,,,,
BT12-070,Wargreymon_BT12_070,2485,,,,,,
BT12-070_P1,Wargreymon_BT12_070,2486,,,,,,
BT12-071,Ancientwisemon_BT12_071,2487,,,,,,
BT12-072,ChaosdramonXAntibody_BT12_072,2488,,,,,,
BT12-073,InpumonXAntibody_BT12_073,2489,,,,,,
BT12-074,Gammon_BT12_074,2490,,,,,,
BT12-075,Saikemon_BT12_075,2491,,,,,,
BT12-076,Dobelmon_BT12_076,2492,,,,,,
BT12-077,Alesterdramon_BT12_077,2493,,,,,,
BT12-077_P1,Alesterdramon_BT12_077,2494,,,,,,
BT12-078,WizzarmonXAntibody_BT12_078,2495,,,,,,
BT12-079,,2496,,,,,,
BT12-080,Wisemon_BT12_080,2497,,,,,,
BT12-081,Astamon_BT12_081,2498,,,,,,
BT12-081_P1,Astamon_BT12_081,2499,,,,,,
BT12-082,BaalmonXAntibody_BT12_082,2500,,,,,,
BT12-083,AlesterdramonSperiolMode_BT12_083,2501,,,,,,
BT12-083_P1,AlesterdramonSperiolMode_BT12_083,2502,,,,,,
BT12-084,Jetmelvamon_BT12_084,2503,,,,,,
BT12-085,BelzebmonXAntibody_BT12_085,2504,,,,,,
BT12-085_P1,BelzebmonXAntibody_BT12_085,2505,,,,,,
BT12-086,Clockmon_BT12_086,2506,,,,,,
BT12-087,KudouTaiki_BT12_087,2507,,,,,,
BT12-087_P1,KudouTaiki_BT12_087,2508,,,,,,
BT12-088,KanbaraTakuya_BT12_088,2509,,,,,,
BT12-088_P1,KanbaraTakuya_BT12_088,2510,,,,,,
BT12-089,MatsudaTakato_BT12_089,2511,,,,,,
BT12-089_P1,MatsudaTakato_BT12_089,2512,,,,,,
BT12-090,MotomiyaDaisuke_BT12_090,2513,,,,,,
BT12-090_P1,MotomiyaDaisuke_BT12_090,2514,,,,,,
BT12-091,SuzakiAiru_BT12_091,2515,,,,,,
BT12-092,DaimonMasaru_BT12_092,2516,,,,,,
BT12-092_P1,DaimonMasaru_BT12_092,2517,,,,,,
BT12-093,TobariRen_BT12_093,2518,,,,,,
BT12-094,AmayoYuu_BT12_094,2519,,,,,,
BT12-095,YagamiTaichi_BT12_095,2520,,,,,,
BT12-095_P1,YagamiTaichi_BT12_095,2521,,,,,,
BT12-096,AkashiTagiru_BT12_096,2522,,,,,,
BT12-096_P1,AkashiTagiru_BT12_096,2523,,,,,,
BT12-097,MogamiRyouma_BT12_097,2524,,,,,,
BT12-098,WatchmakersOldMan_BT12_098,2525,,,,,,
BT12-099,KuzuRyuujin_BT12_099,2526,,,,,,
BT12-100,FinalCrossBlade_BT12_100,2527,,,,,,
BT12-101,ExLaser_BT12_101,2528,,,,,,
BT12-102,GreatMaleStrorm_BT12_102,2529,,,,,,
BT12-103,KyoushinHomeRun_BT12_103,2530,,,,,,
BT12-104,ShiningBlust_BT12_104,2531,,,,,,
BT12-105,SpikingFinish_BT12_105,2532,,,,,,
BT12-106,GyuputoParticleCanon_BT12_106,2533,,,,,,
BT12-107,LaprasDemon_BT12_107,2534,,,,,,
BT12-108,SuperGenocideAttack_BT12_108,2535,,,,,,
BT12-109,FlowingPower_BT12_109,2536,,,,,,
BT12-110,SevensFullCluster_BT12_110,2537,,,,,,
BT12-111,Darknessbagramon_BT12_111,2538,,,,,,
BT12-111_P1,Darknessbagramon_BT12_111,2539,,,,,,
BT12-111_P2,Darknessbagramon_BT12_111,2540,,,,,,
BT12-112,ShoutmonX7SperiorMode_BT12_112,2541,,,,,,
BT12-112_P1,ShoutmonX7SperiorMode_BT12_112,2542,,,,,,
BT12-112_P2,ShoutmonX7SperiorMode_BT12_112,2543,,,,,,
