カード画像ファイル名,効果クラス名,カードIndex,最大枚数,,空欄,1GeL2T-BVntHWYKKy1uaT3SMd1BIB_RJy,,
BT13-001,Pinamon_BT13_001,2643,,,,,,
BT13-002,Chapmon_BT13_002,2644,,,,,,
BT13-003,Kyaromon_BT13_003,2645,,,,,,
BT13-004,Badomon_BT13_004,2646,,,,,,
BT13-005,Dorimon_BT13_005,2647,,,,,,
BT13-006,Kapurimon_BT13_006,2648,,,,,,
BT13-007,Igdrasil7D6_BT13_007,2649,,,,,,
BT13-007_P1,Igdrasil7D6_BT13_007,2650,,,,,,
BT13-008,Agumon_BT13_008,2651,,,,,,
BT13-009,Huckmon_BT13_009,2652,,,,,,
BT13-010,Piyomon_BT13_010,2653,,,,,, 
BT13-011,Akwiramon_BT13_011,2654,,,,,,
BT13-012,Geogreymon_BT13_012,2655,,,,,,
BT13-013,Baohuckmon_BT13_013,2656,,,,,,
BT13-014,Garudamon_BT13_014,2657,,,,,,
BT13-015,Risegreymon_BT13_015,2658,,,,,,
BT13-016,Saviorhuckmon_BT13_016,2659,,,,,,
BT13-017,Jiesmon_BT13_017,2660,,,,,,
BT13-017_P1,Jiesmon_BT13_017,2661,,,,,,
BT13-018,Shinegreymon_BT13_018,2662,,,,,,
BT13-019,Gankuumon_BT13_019,2663,,,,,,
BT13-019_P1,Gankuumon_BT13_019,2664,,,,,,
BT13-020,ShinegreymonBurstMode_BT13_020,2665,,,,,,
BT13-020_P1,ShinegreymonBurstMode_BT13_020,2666,,,,,,
BT13-020_P2,ShinegreymonBurstMode_BT13_020,2667,,,,,,
BT13-021,Gaomon_BT13_021,2668,,,,,,
BT13-022,Koemon_BT1_031,2669,,,,,,
BT13-023,Jellymon_BT13_023,2670,,,,,,
BT13-024,Koemon_BT1_031,2671,,,,,,
BT13-025,Gaogamon_BT13_025,2672,,,,,,
BT13-026,Teslajellymon_BT13_026,2673,,,,,,
BT13-027,Shaujinmon_BT13_027,2674,,,,,,
BT13-028,Tetismon_BT13_028,2675,,,,,,
BT13-029,Mahhagaogamon_BT13_029,2676,,,,,,
BT13-030,Alforsevdramon_BT13_030,2677,,,,,,
BT13-030_P1,Alforsevdramon_BT13_030,2678,,,,,,
BT13-031,Miragegaogamon_BT13_031,2679,,,,,,
BT13-032,Jambogamemon_BT13_032,2680,,,,,,
BT13-033,MiragegaogamonBurstMode_BT13_033,2681,,,,,,
BT13-033_P1,MiragegaogamonBurstMode_BT13_033,2682,,,,,,
BT13-033_P2,MiragegaogamonBurstMode_BT13_033,2683,,,,,,
BT13-034,Kudamon_BT13_034,2684,,,,,,
BT13-035,Ponechessmon_BT13_035,2685,,,,,,
BT13-036,Leorumon_BT13_036,2686,,,,,,
BT13-037,Laiamon_BT13_037,2687,,,,,,
BT13-038,Reppamon_BT13_038,2688,,,,,,
BT13-039,Knightchessmon_BT13_039,2689,,,,,,
BT13-040,Magnamon_BT13_040,2690,,,,,,
BT13-040_P1,Magnamon_BT13_040,2691,,,,,,
BT13-041,Chiirinmon_BT13_041,2692,,,,,,
BT13-042,Bishopchessmon_BT13_042,2693,,,,,,
BT13-043,Lorderleomon_BT13_043,2694,,,,,,
BT13-044,Bancholeomon_BT13_044,2695,,,,,,
BT13-045,Kingchessmon_BT13_045,2696,,,,,,
BT13-046,Slapemon_BT13_046,2697,,,,,,
BT13-046_P1,Slapemon_BT13_046,2698,,,,,,
BT13-047,Angoramon_BT13_047,2699,,,,,,
BT13-048,Protmon_BT13_048,2700,,,,,,
BT13-049,Lalamon_BT13_049,2701,,,,,,
BT13-050,Sunflowmon_BT13_050,2702,,,,,,
BT13-051,Mikemon_BT13_051,2703,,,,,,
BT13-052,Jimberangoramon_BT13_052,2704,,,,,,
BT13-053,Mihiramon_BT13_053,2705,,,,,,
BT13-054,Lailamon_BT13_054,2706,,,,,,
BT13-055,Ramormon_BT13_055,2707,,,,,,
BT13-056,Dufutmon_BT13_056,2708,,,,,,
BT13-056_P1,Dufutmon_BT13_056,2709,,,,,,
BT13-057,Rosemon_BT13_057,2710,,,,,,
BT13-058,DufutmonLeopardMode_BT13_058,2711,,,,,,
BT13-058_P1,DufutmonLeopardMode_BT13_058,2712,,,,,,
BT13-059,Examon_BT13_059,2713,,,,,,
BT13-059_P1,Examon_BT13_059,2714,,,,,,
BT13-060,RosemonBurstMode_BT13_060,2715,,,,,,
BT13-060_P1,RosemonBurstMode_BT13_060,2716,,,,,,
BT13-060_P2,RosemonBurstMode_BT13_060,2717,,,,,,
BT13-061,Gotsumon_BT13_061,2718,,,,,,
BT13-062,Chumon_BT13_062,2719,,,,,,
BT13-063,Dorumon_BT13_063,2720,,,,,,
BT13-064,Ponechessmon_BT13_064,2721,,,,,,
BT13-065,Platinumsukamon_BT13_065,2722,,,,,,
BT13-066,Dorumon_BT13_063,2723,,,,,,
BT13-067,Gradimon_BT13_067,2724,,,,,,
BT13-068,Knightchessmon_BT13_068,2725,,,,,,
BT13-069,Sukamonking_BT13_069,2726,,,,,,
BT13-070,Lukechessmon_BT13_070,2727,,,,,,
BT13-071,Gilomon_BT13_071,2728,,,,,,
BT13-072,Doruguremon_BT13_072,2729,,,,,,
BT13-073,Queenchessmon_BT13_073,2730,,,,,,
BT13-074,Princemamemon_BT13_074,2731,,,,,,
BT13-075,Alphamon_BT13_075,2732,,,,,,
BT13-075_P1,Alphamon_BT13_075,2733,,,,,,
BT13-076,Kingetemon_BT13_076,2734,,,,,,
BT13-077,Kureniammon_BT13_077,2735,,,,,,
BT13-077_P1,Kureniammon_BT13_077,2736,,,,,,
BT13-078,Fascomon_BT13_078,2737,,,,,,
BT13-079,Falcomon_BT13_079,2738,,,,,,
BT13-080,Protogizmon_BT13_080,2739,,,,,,
BT13-081,Pokyupamon_BT13_081,2740,,,,,,
BT13-082,Peckmon_BT13_082,2741,,,,,,
BT13-083,GizmonAT_BT13_083,2742,,,,,,
BT13-084,Astamon_BT13_084,2743,,,,,,
BT13-085,Yatagaramon_BT13_085,2744,,,,,,
BT13-086,GizimonXT_BT13_086,2745,,,,,,
