カード画像ファイル名,効果クラス名,カードIndex,最大枚数,,空欄,1JsuQ2fpw3gAi1D8W6qwqw6ZFxlR5Z9vd,,
BT15-001,Yokomon_BT15_001,3114,,,,,,
BT15-001_P1,Yokomon_BT15_001,3115,,,,,,
BT15-002,Tsunomon_BT15_002,3116,,,,,,
BT15-002_P1,Tsunomon_BT15_002,3117,,,,,,
BT15-003,Nyaromon_BT15_003,3118,,,,,,
BT15-003_P1,Nyaromon_BT15_003,3119,,,,,,
BT15-004,Motimon_BT15_004,3120,,,,,,
BT15-004_P1,Motimon_BT15_004,3121,,,,,,
BT15-005,Kyokyomon_BT15_005,3122,,,,,,
BT15-005_P1,Kyokyomon_BT15_005,3123,,,,,,
BT15-006,Demimeramon_BT15_006,3124,,,,,, 
BT15-006_P1,Demimeramon_BT15_006,3125,,,,,,
BT15-007,Biyomon_BT15_007,3126,,,,,,
BT15-007_P1,Biyomon_BT15_007,3127,,,,,,
BT15-008,Muchomon_BT15_008,3128,,,,,,
BT15-009,Meramon_BT15_009,3129,,,,,,
BT15-010,Akatorimon_BT15_010,3130,,,,,,
BT15-011,Tyrannomon_BT15_011,3131,,,,,,
BT15-012,ShoutmonX2_BT15_012,3132,,,,,,
BT15-013,Birdramon_BT15_013,3133,,,,,,
BT15-014,GarudamonAce_BT15_014,3134,,,,,,
BT15-014_P1,GarudamonAce_BT15_014,3135,,,,,,
BT15-014_P2,GarudamonAce_BT15_014,3136,,,,,,
BT15-015,SkullMeramon_BT15_015,3137,,,,,,
BT15-016,Brachiomon_BT15_016,3138,,,,,,
BT15-017,Phoenixmon_BT15_017,3139,,,,,,
BT15-018,Cannondramon_BT15_018,3140,,,,,,
BT15-019,Crabmon_BT15_019,3141,,,,,,
BT15-020,Gabumon_BT15_020,3142,,,,,,
BT15-020_P1,Gabumon_BT15_020,3143,,,,,,
BT15-021,Gomamon_X_Antibody_BT15_021,3144,,,,,,
BT15-022,Betamon_BT15_022,3145,,,,,,
BT15-023,Coelamon_BT15_023,3146,,,,,,
BT15-024,Garurumon_BT15_024,3147,,,,,,
BT15-025,Seadramon_BT15_025,3148,,,,,,
BT15-026,WereGarurumon_ACE_BT15_026,3149,,,,,,
BT15-026_P1,WereGarurumon_ACE_BT15_026,3150,,,,,,
BT15-026_P2,WereGarurumon_ACE_BT15_026,3151,,,,,,
BT15-027,Scorpiomon_BT15_027,3152,,,,,,
BT15-028,Divermon_BT15_028,3153,,,,,,
BT15-029,MegaSeadramon_BT15_029,3154,,,,,,
BT15-030,Pukumon_BT15_030,3155,,,,,,
BT15-031,MetalSeadramon_BT15_031,3156,,,,,,
BT15-032,Plesiomon_X_Antibody_BT15_032,3157,,,,,,
BT15-033,Tapirmon_BT15_033,3158,,,,,,
BT15-034,Salamon_BT15_034,3159,,,,,,
BT15-035,Geremon_BT15_035,3160,,,,,,
BT15-036,Wizardmon_BT15_036,3161,,,,,,
BT15-037,Gatomon_BT15_037,3162,,,,,,
BT15-037_P1,Gatomon_BT15_037,3163,,,,,,
BT15-038,Angewomon_ACE_BT15_038,3164,,,,,,
BT15-038_P1,Angewomon_ACE_BT15_038,3165,,,,,,
BT15-038_P2,Angewomon_ACE_BT15_038,3166,,,,,,
BT15-039,Bombermon_BT15_039,3167,,,,,,
BT15-040,Monzaemon_X_Antibody_BT15_040,3168,,,,,,
BT15-041,Babamon_BT15_041,3169,,,,,,
BT15-042,Magnadramon_BT15_042,3170,,,,,,
BT15-043,Tentomon_BT15_043,3171,,,,,,
BT15-043_P1,Tentomon_BT15_043,3172,,,,,,
BT15-044,Mushroomon_BT15_044,3173,,,,,,
BT15-045,Palmon_X_Antibody_BT15_045,3174,,,,,,
BT15-046,Woodmon_BT15_046,3175,,,,,,
BT15-047,Kabuterimon_BT15_047,3176,,,,,,
BT15-048,Togemon_X_Antibody_BT15_048,3177,,,,,,
BT15-049,MegaKabuterimon_ACE_BT15_049,3178,,,,,,
BT15-049_P1,MegaKabuterimon_ACE_BT15_049,3179,,,,,,
BT15-049_P2,MegaKabuterimon_ACE_BT15_049,3180,,,,,,
BT15-050,Cherrymon_BT15_050,3181,,,,,,
BT15-051,Lillymon_X_Antibody_BT15_051,3182,,,,,,
BT15-052,Puppetmon_BT15_052,3183,,,,,,
BT15-053,HerculesKabuterimon_BT15_053,3184,,,,,,
BT15-054,Rosemon_X_Antibody_BT15_054,3185,,,,,,
BT15-055,Hagurumon_BT15_055,3186,,,,,,
BT15-056,Ryudamon_BT15_056,3187,,,,,,
BT15-056_P1,Ryudamon_BT15_056,3188,,,,,,
BT15-057,Numemon_X_Antibody_BT15_057,3189,,,,,,
BT15-058,Ginryumon_BT15_058,3190,,,,,,
BT15-059,Airdramon_BT15_059,3191,,,,,,
BT15-060,Omekamon_BT15_060,3192,,,,,,
BT15-061,Guardromon_BT15_061,3193,,,,,,
BT15-062,Gigadramon_BT15_062,3194,,,,,,
BT15-063,Hisyaryumon_BT15_063,3195,,,,,,
BT15-064,Megadramon_BT15_064,3196,,,,,,
BT15-064_P1,Megadramon_BT15_064,3197,,,,,,
BT15-065,WaruMonzaemon_BT15_065,3198,,,,,,
BT15-066,Machinedramon_BT15_066,3199,,,,,,
BT15-067,Ouryumon_BT15_067,3200,,,,,,
BT15-068,Gizamon_BT15_068,3201,,,,,,
BT15-069,Candlemon_BT15_069,3202,,,,,,
BT15-070,DemiDevimon_BT15_070,3203,,,,,,
BT15-071,Loogamon_BT15_071,3204,,,,,,
BT15-072,Vilemon_BT15_072,3205,,,,,,
BT15-073,Bakemon_BT15_073,3206,,,,,,
BT15-074,Gesomon_BT15_074,3207,,,,,,
BT15-075,Loogarmon_BT15_075,3208,,,,,,
BT15-076,Myotismon_ACE_BT15_076,3209,,,,,,
BT15-076_P1,Myotismon_ACE_BT15_076,3210,,,,,,
BT15-077,LadyDevimon_BT15_077,3211,,,,,,
BT15-078,WaruSeadramon_BT15_078,3212,,,,,,
BT15-079,Piedmon_BT15_079,3213,,,,,,
BT15-080,VenomMyotismon_BT15_080,3214,,,,,,
BT15-081,Leviamon_X_Antibody_BT15_081,3215,,,,,,
BT15-081_P1,Leviamon_X_Antibody_BT15_081,3216,,,,,,
BT15-082,Sora_Takenouchi_BT15_082,3217,,,,,,
BT15-082_P1,Sora_Takenouchi_BT15_082,3218,,,,,,
BT15-083,Matt_Ishida_BT15_083,3219,,,,,,
BT15-083_P1,Matt_Ishida_BT15_083,3220,,,,,,
BT15-084,Kari_Kamiya_BT15_084,3221,,,,,,
BT15-084_P1,Kari_Kamiya_BT15_084,3222,,,,,,
BT15-085,Izzy_Izumi_BT15_085,3223,,,,,,
BT15-085_P1,Izzy_Izumi_BT15_085,3224,,,,,,
BT15-086,Marvin_Jackson_BT15_086,3225,,,,,,
BT15-086_P1,Marvin_Jackson_BT15_086,3226,,,,,,
BT15-087,Shuu_Yulin_BT15_087,3227,,,,,,
BT15-087_P1,Shuu_Yulin_BT15_087,3228,,,,,,
BT15-088,Wings_of_Love_BT15_088,3229,,,,,,
BT15-089,Meteor_Wing_BT15_089,3230,,,,,,
BT15-090,Fox_Fire_BT15_090,3231,,,,,,
BT15-091,Wolf_of_Friendship_BT15_091,3232,,,,,,
BT15-092,Revelation_of_Light_BT15_092,3233,,,,,,
BT15-093,Holy_Arrow_BT15_093,3234,,,,,,
BT15-094,Super_Shocker_BT15_094,3235,,,,,,
BT15-095,Impact_of_Knowledge_BT15_095,3236,,,,,,
BT15-096,Supreme_Connection!_BT15_096,3237,,,,,,
BT15-097,Ultimate_Slicer_BT15_097,3238,,,,,,
BT15-098,Mist_Barrier_BT15_098,3239,,,,,,
BT15-099,Venom_Infusion_BT15_099,3240,,,,,,
BT15-100,Seventh_Lightning_BT15_100,3241,,,,,,
BT15-101,MetalGarurumon_BT15_101,3242,,,,,,
