カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1z4LqHCPL6aiIx5K-dc9p7dVNiEGLq4dG
BT2-001,Gigimon_BT2_001,360,,,
BT2-001_P1,Gigimon_BT2_001,361,,,
BT2-002,Chibimon_BT2_002,362,,,
BT2-003,Nyaromon_BT2_003,363,,,
BT2-004,Argomon_BT2_004,364,,,
BT2-004_P1,Argomon_BT2_004,365,,,
BT2-004_P2,Argomon_BT2_004,366,,,
BT2-004_P3,Argomon_BT2_004,367,,,
BT2-005,Kapurimon_BT2_005,368,,,
BT2-006,Tsumemon_BT2_006,369,,,
BT2-007,Pagumon_BT2_007,370,,,
BT2-008,Yamon_BT2_008,371,,,
BT2-009,Gigimon_BT2_001,372,,,
BT2-010,Piyomon_BT2_010,373,,,
BT2-010_P1,Piyomon_BT2_010,374,,,
BT2-011,,375,,,
BT2-011_P1,,376,,,
BT2-012,Birdramon_BT2_012,377,,,
BT2-012_P1,Birdramon_BT2_012,378,,,
BT2-013,Graumon_BT2_013,379,,,
BT2-013_P1,Graumon_BT2_013,380,,,
BT2-014,,381,,,
BT2-015,Garudamon_BT2_015,382,,,
BT2-015_P1,Garudamon_BT2_015,383,,,
BT2-016,,384,,,
BT2-016_P1,,385,,,
BT2-017,Megaroguraumon_BT2_017,386,,,
BT2-017_P1,Megaroguraumon_BT2_017,387,,,
BT2-018,Volcanicdramon_BT2_018,388,,,
BT2-018_P1,Volcanicdramon_BT2_018,389,,,
BT2-019,Houohmon_BT2_019,390,,,
BT2-020,Dukemon_BT2_020,391,,,
BT2-020_P1,Dukemon_BT2_020,392,,,
BT2-020_P2,Dukemon_BT2_020,393,,,
BT2-020_P3,Dukemon_BT2_020,394,,,
BT2-021,Veemon_BT2_021,395,,,
BT2-021_P1,Veemon_BT2_021,396,,,
BT2-022,,397,,,
BT2-023,Gomamon_BT2_023,398,,,
BT2-024,,399,,,
BT2-024_P1,,400,,,
BT2-025,Ikkakumon_BT2_025,401,,,
BT2-025_P1,Ikkakumon_BT2_025,402,,,
BT2-026,Vdramon_BT2_026,403,,,
BT2-026_P1,Vdramon_BT2_026,404,,,
BT2-027,,405,,,
BT2-027_P1,,406,,,
BT2-028,Aerovdramon_BT2_028,407,,,
BT2-028_P1,Aerovdramon_BT2_028,408,,,
BT2-028_P2,Aerovdramon_BT2_028,409,,,
BT2-029,Megaseadramon_BT2_029,410,,,
BT2-030,Metalseadramon_BT2_030,411,,,
BT2-030_P1,Metalseadramon_BT2_030,412,,,
BT2-031,Vikemon_BT2_031,413,,,
BT2-032,Alforsevdramon_BT2_032,414,,,
BT2-032_P1,Alforsevdramon_BT2_032,415,,,
BT2-032_P2,Alforsevdramon_BT2_032,416,,,
BT2-032_P3,Alforsevdramon_BT2_032,417,,,
BT2-033,Agumon_BT2_033,418,,,
BT2-033_P1,Agumon_BT2_033,419,,,
BT2-034,Protmon_BT2_034,420,,,
BT2-034_P1,Protmon_BT2_034,421,,,
BT2-035,Geogreymon_BT2_035,422,,,
BT2-035_P1,Geogreymon_BT2_035,423,,,
BT2-035_P2,Geogreymon_BT2_035,424,,,
BT2-035_P3,Geogreymon_BT2_035,425,,,
BT2-036,Tailmon_BT2_036,426,,,
BT2-036_P1,Tailmon_BT2_036,427,,,
BT2-037,,428,,,
BT2-037_P1,,429,,,
BT2-038,Risegreymon_BT2_038,430,,,
BT2-038_P1,Risegreymon_BT2_038,431,,,
BT2-038_P2,Risegreymon_BT2_038,432,,,
BT2-039,Holydramon_BT2_039,433,,,
BT2-040,Ofanimon_BT2_040,434,,,
BT2-041,Shinegreymon_BT2_041,435,,,
BT2-041_P1,Shinegreymon_BT2_041,436,,,
BT2-042,,437,,,
BT2-043,Agumon_ST1_03,438,,,
BT2-044,Tiranomon_BT2_044,439,,,
BT2-044_P1,Tiranomon_BT2_044,440,,,
BT2-045,Argomon_BT2_045,441,,,
BT2-046,Metaltiranomon_BT2_046,442,,,
BT2-046_P1,Metaltiranomon_BT2_046,443,,,
BT2-047,Argomon_BT2_047,444,,,
BT2-047_P1,Argomon_BT2_047,445,,,
BT2-048,Koemon_BT1_031,446,,,
BT2-049,Pinokkimon_BT2_049,447,,,
BT2-049_P1,Pinokkimon_BT2_049,448,,,
BT2-050,Argomon_BT2_050,449,,,
BT2-051,Lasttiranomon_BT2_051,450,,,
BT2-051_P1,Lasttiranomon_BT2_051,451,,,
BT2-051_P2,Lasttiranomon_BT2_051,452,,,
BT2-052,,453,,,
BT2-052_P1,,454,,,
BT2-052_P2,,455,,,
BT2-053,Keramon_BT2_053,456,,,
BT2-053_P1,Keramon_BT2_053,457,,,
BT2-053_P2,Keramon_BT2_053,458,,,
BT2-054,Coredramon_ST1_06,459,,,
BT2-055,Toyagumon_BT2_055,460,,,
BT2-055_P1,Toyagumon_BT2_055,461,,,
BT2-055_P2,Toyagumon_BT2_055,462,,,
BT2-056,,463,,,
BT2-056_P1,,464,,,
BT2-056_P2,,465,,,
BT2-057,Greymon_BT2_057,466,,,
BT2-057_P1,Greymon_BT2_057,467,,,
BT2-058,Girdromon_BT2_058,468,,,
BT2-058_P1,Girdromon_BT2_058,469,,,
BT2-059,Kurisarimon_BT2_059,470,,,
BT2-060,,471,,,
BT2-061,Koemon_BT1_031,472,,,
BT2-061_P1,Koemon_BT1_031,473,,,
BT2-062,Infermon_BT2_062,474,,,
BT2-063,Metalgreymon_BT2_063,475,,,
BT2-063_P1,Metalgreymon_BT2_063,476,,,
BT2-064,,477,,,
BT2-065,Wargreymon_BT2_065,478,,,
BT2-065_P1,Wargreymon_BT2_065,479,,,
BT2-065_P2,Wargreymon_BT2_065,480,,,
BT2-066,Mugendramon_BT2_066,481,,,
BT2-066_P1,Mugendramon_BT2_066,482,,,
BT2-066_P2,Mugendramon_BT2_066,483,,,
BT2-066_P3,Mugendramon_BT2_066,484,,,
BT2-066_P4,Mugendramon_BT2_066,485,,,
BT2-067,,486,,,
BT2-067_P1,,487,,,
BT2-067_P2,,488,,,
BT2-068,Inpumon_BT2_068,489,,,
BT2-068_P1,Inpumon_BT2_068,490,,,
BT2-068_P2,Inpumon_BT2_068,491,,,
BT2-069,Gabumon_BT2_069,492,,,
BT2-069_P1,Gabumon_BT2_069,493,,,
BT2-070,Bakumon_BT2_070,494,,,
BT2-070_P1,Bakumon_BT2_070,495,,,
BT2-071,Wizzarmon_BT2_071,496,,,
BT2-072,Coredramon_ST1_06,497,,,
BT2-072_P1,Coredramon_ST1_06,498,,,
BT2-072_P2,Coredramon_ST1_06,499,,,
BT2-073,Garurumon_BT2_073,500,,,
BT2-073_P1,Garurumon_BT2_073,501,,,
BT2-074,Devimon_BT2_074,502,,,
BT2-074_P1,Devimon_BT2_074,503,,,
BT2-075,,504,,,
BT2-076,Gabumon_BT2_069,505,,,
BT2-077,Kimeramon_BT2_077,506,,,
BT2-077_P1,Kimeramon_BT2_077,507,,,
BT2-077_P2,Kimeramon_BT2_077,508,,,
BT2-078,Wargarurumon_BT2_078,509,,,
BT2-078_P1,Wargarurumon_BT2_078,510,,,
BT2-079,Venomvandemon_BT2_079,511,,,
BT2-080,Piemon_BT2_080,512,,,
BT2-080_P1,Piemon_BT2_080,513,,,
BT2-081,Metalgarurumon_BT2_081,514,,,
BT2-081_P1,Metalgarurumon_BT2_081,515,,,
BT2-082,Diaboromon_BT2_082,516,,,
BT2-082_P1,Diaboromon_BT2_082,517,,,
BT2-083,Mileniamon_BT2_083,518,,,
BT2-083_P1,Mileniamon_BT2_083,519,,,
BT2-084,TakenouchiSora_BT2_084,520,,,
BT2-084_P1,TakenouchiSora_BT2_084,521,,,
BT2-084_P2,TakenouchiSora_BT2_084,522,,,
BT2-085,KidoJou_BT2_085,523,,,
BT2-085_P1,KidoJou_BT2_085,524,,,
BT2-085_P2,KidoJou_BT2_085,525,,,
BT2-086,ShinomiyaRina_BT2_086,526,,,
BT2-087,YagamiHikari_BT2_087,527,,,
BT2-087_P1,YagamiHikari_BT2_087,528,,,
BT2-087_P2,YagamiHikari_BT2_087,529,,,
BT2-088,Taiga_BT2_088,530,,,
BT2-089,YagamiTaichi_BT2_089,531,,,
BT2-089_P1,YagamiTaichi_BT2_089,532,,,
BT2-089_P2,YagamiTaichi_BT2_089,533,,,
BT2-090,IshidaYamato_BT2_090,534,,,
BT2-090_P1,IshidaYamato_BT2_090,535,,,
BT2-090_P2,IshidaYamato_BT2_090,536,,,
BT2-091,VolcanicFlare_BT2_091,537,,,
BT2-092,DoubeEdge_BT2_092,538,,,
BT2-093,FinalElision_BT2_093,539,,,
BT2-094,ArcticBlizzard_BT2_094,540,,,
BT2-095,UltimateStream_BT2_095,541,,,
BT2-096,ShiningVForce_BT2_096,542,,,
BT2-096_P1,ShiningVForce_BT2_096,543,,,
BT2-097,NekoPuntch_BT2_097,544,,,
BT2-098,EdensJavelin_BT2_098,545,,,
BT2-099,GloriousBurst_BT2_099,546,,,
BT2-100,BritHummer_BT2_100,547,,,
BT2-101,CherryBomb_BT2_101,548,,,
BT2-102,TerrorsCluster_BT2_102,549,,,
BT2-103,SpiralSword_BT2_103,550,,,
BT2-104,AtomicLay_BT2_104,551,,,
BT2-105,HellsGranade_BT2_105,552,,,
