カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1BJ-4MAidGwOf6dWoioZRSXh5B9OriWhK
BT3-001,Poromon_BT3_001,587,,,
BT3-002,Chibimon_BT3_002,588,,,
BT3-002_P1,Chibimon_BT3_002,589,,,
BT3-002_P2,Chibimon_BT3_002,590,,,
BT3-003,Upamon_BT3_003,591,,,
BT3-003_P1,Upamon_BT3_003,592,,,
BT3-003_P2,Upamon_BT3_003,593,,,
BT3-004,Minomon_BT3_004,594,,,
BT3-004_P1,Minomon_BT3_004,595,,,
BT3-004_P2,Minomon_BT3_004,596,,,
BT3-005,Kakkinmon_BT3_005,597,,,
BT3-006,Puchimeramon_BT3_006,598,,,
BT3-006_P1,Puchimeramon_BT3_006,599,,,
BT3-006_P2,Puchimeramon_BT3_006,600,,,
BT3-007,,601,,,
BT3-008,Zubamon_BT3_008,602,,,
BT3-009,,603,,,
BT3-009_P1,,604,,,
BT3-010,Zubigermon_BT3_010,605,,,
BT3-011,Greymon_BT3_011,606,,,
BT3-011_P1,Greymon_BT3_011,607,,,
BT3-012,Graumon_BT2_013,608,,,
BT3-013,Zubigermon_BT3_010,609,,,
BT3-014,Silfymon_BT3_014,610,,,
BT3-015,Metalgreymon_BT3_015,611,,,
BT3-016,Durandamon_BT3_016,612,,,
BT3-017,Valkirimon_BT3_017,613,,,
BT3-018,Blitsgreymon_BT3_018,614,,,
BT3-018_P1,Blitsgreymon_BT3_018,615,,,
BT3-019,Lagnalordmon_BT3_019,616,,,
BT3-019_P1,Lagnalordmon_BT3_019,617,,,
BT3-020,,618,,,
BT3-021,Tiranomon_BT1_016,619,,,
BT3-021_P1,Tiranomon_BT1_016,620,,,
BT3-021_P2,Tiranomon_BT1_016,621,,,
BT3-021_P3,Tiranomon_BT1_016,622,,,
BT3-021_P4,Tiranomon_BT1_016,623,,,
BT3-022,,624,,,
BT3-023,Garurumon_ST2_06,625,,,
BT3-024,Greymon_BT3_011,626,,,
BT3-024_P1,Greymon_BT3_011,627,,,
BT3-024_P2,Greymon_BT3_011,628,,,
BT3-025,Exveemon_BT3_025,629,,,
BT3-025_P1,Exveemon_BT3_025,630,,,
BT3-026,Garurumon_ST2_06,631,,,
BT3-027,Piledramon_BT3_027,632,,,
BT3-028,,633,,,
BT3-029,Goddramon_BT3_029,634,,,
BT3-030,Dufutmon_BT3_030,635,,,
BT3-030_P1,Dufutmon_BT3_030,636,,,
BT3-031,ImperialdramonDragonMode_BT3_031,637,,,
BT3-031_P1,ImperialdramonDragonMode_BT3_031,638,,,
BT3-031_P2,ImperialdramonDragonMode_BT3_031,639,,,
BT3-032,,640,,,
