カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,14mJ8RsECpZ1gVkIHmAbffj-9Kj3_5QSZ
BT4-001,Kakkinmon_BT3_005,759,,,
BT4-002,Pukamon_BT4_002,760,,,
BT4-003,Koromon_BT4_003,761,,,
BT4-004,Badomon_BT4_004,762,,,
BT4-005,Missilemon_BT4_005,763,,,
BT4-005_P1,Missilemon_BT4_005,764,,,
BT4-005_P2,Missilemon_BT4_005,765,,,
BT4-005_P3,Missilemon_BT4_005,766,,,
BT4-006,Shaomon_BT4_006,767,,,
BT4-006_P1,Shaomon_BT4_006,768,,,
BT4-007,,769,,,
BT4-008,Agumon_BT4_008,770,,,
BT4-009,Flaemon_BT4_009,771,,,
BT4-010,,772,,,
BT4-010_P1,,773,,,
BT4-011,Agunimon_BT4_011,774,,,
BT4-011_P1,Agunimon_BT4_011,775,,,
BT4-011_P2,Agunimon_BT4_011,776,,,
BT4-011_P3,Agunimon_BT4_011,777,,,
BT4-011_P4,Agunimon_BT4_011,778,,,
BT4-011_P5,Agunimon_BT4_011,779,,,
BT4-012,Geogreymon_BT4_012,780,,,
BT4-013,Vritramon_BT4_013,781,,,
BT4-014,,782,,,
BT4-015,Greymon_ST1_07,783,,,
BT4-015_P1,Greymon_ST1_07,784,,,
BT4-016,Ardamon_BT4_016,785,,,
BT4-016_P1,Ardamon_BT4_016,786,,,
BT4-017,Risegreymon_BT4_017,787,,,
BT4-017_P1,Risegreymon_BT4_017,788,,,
BT4-018,Spinomon_BT4_018,789,,,
BT4-019,Victorygreymon_BT4_019,790,,,
BT4-019_P1,Victorygreymon_BT4_019,791,,,
BT4-020,Shinegreymon_BT4_020,792,,,
BT4-021,Agumon_BT4_008,793,,,
BT4-022,,794,,,
BT4-023,Strabimon_BT4_023,795,,,
BT4-024,,796,,,
BT4-025,Volfmon_BT4_025,797,,,
BT4-025_P1,Volfmon_BT4_025,798,,,
BT4-026,Gaogamon_BT4_026,799,,,
BT4-027,Galmmon_BT4_027,800,,,
