カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1Ox_lxPUVsQvwPslgqvph17Ai3QlHeek5
BT5-001,Koromon_BT5_001,928,,,
BT5-001_P1,Koromon_BT5_001,929,,,
BT5-002,Tsunomon_BT5_002,930,,,
BT5-003,Pickmon_BT5_003,931,,,
BT5-003_P1,Pickmon_BT5_003,932,,,
BT5-004,Pyokomon_BT5_004,933,,,
BT5-005,Tsumemon_BT5_005,934,,,
BT5-006,Gigimon_BT5_006,935,,,
BT5-007,Agumon_BT5_007,936,,,
BT5-007_P1,Agumon_BT5_007,937,,,
BT5-007_P2,Agumon_BT5_007,938,,,
BT5-007_P3,Agumon_BT5_007,939,,,
BT5-007_P4,Agumon_BT5_007,940,,,
BT5-008,Gaosmon_BT5_008,941,,,
BT5-009,Shoutmon_BT5_009,942,,,
BT5-009_P1,Shoutmon_BT5_009,943,,,
BT5-010,Greymon_BT5_010,944,,,
BT5-010_P1,Greymon_BT5_010,945,,,
BT5-010_P2,Greymon_BT5_010,946,,,
BT5-010_P3,Greymon_BT5_010,947,,,
BT5-011,Meramon_BT5_011,948,,,
BT5-011_P1,Meramon_BT5_011,949,,,
BT5-012,Coredramon_ST1_06,950,,,
BT5-012_P1,Coredramon_ST1_06,951,,,
BT5-012_P2,Coredramon_ST1_06,952,,,
BT5-013,,953,,,
BT5-014,Omegashaoutmon_BT5_014,954,,,
BT5-015,MetalgreymonAltarausMode_BT5_015,955,,,
BT5-016,Wargreymon_BT5_016,956,,,
BT5-017,Geekgreymon_BT5_017,957,,,
BT5-018,Dolbicmon_BT5_018,958,,,
BT5-019,ShoutmonDX_BT5_019,959,,,
BT5-019_P1,ShoutmonDX_BT5_019,960,,,
BT5-020,Gabumon_BT5_020,961,,,
BT5-020_P1,Gabumon_BT5_020,962,,,
BT5-020_P2,Gabumon_BT5_020,963,,,
BT5-020_P3,Gabumon_BT5_020,964,,,
BT5-021,Shakomon_BT5_021,965,,,
BT5-022,Burukomon_BT5_022,966,,,
BT5-023,,967,,,
BT5-024,Garurumon_BT5_024,968,,,
BT5-024_P1,Garurumon_BT5_024,969,,,
BT5-025,Peldramon_BT5_025,970,,,
BT5-026,Coredramon_ST1_06,971,,,
BT5-026_P1,Coredramon_ST1_06,972,,,
BT5-026_P2,Coredramon_ST1_06,973,,,
BT5-027,,974,,,
BT5-028,Crispeildramon_BT5_028,975,,,
BT5-029,WargarurumonSajitariusMode_BT5_029,976,,,
BT5-030,Neptunemon_BT5_030,977,,,
BT5-031,Metalgarurumon_BT5_031,978,,,
BT5-032,Hexebraumon_BT5_032,979,,,
BT5-032_P1,Hexebraumon_BT5_032,980,,,
BT5-032_P2,Hexebraumon_BT5_032,981,,,
BT5-033,Shakomon_BT5_021,982,,,
BT5-034,Kotemon_BT5_034,983,,,
BT5-034_P1,Kotemon_BT5_034,984,,,
BT5-035,Starmons_BT5_035,985,,,
BT5-035_P1,Starmons_BT5_035,986,,,
BT5-036,Renamon_BT5_036,987,,,
BT5-037,Gradimon_BT5_037,988,,,
BT5-038,Kyuubimon_BT5_038,989,,,
BT5-038_P1,Kyuubimon_BT5_038,990,,,
BT5-039,Shootingstarmon_BT5_039,991,,,
BT5-040,,992,,,
BT5-041,Kyuubimon_BT5_038,993,,,
BT5-042,Knightmon_BT5_042,994,,,
BT5-042_P1,Knightmon_BT5_042,995,,,
BT5-042_P2,Knightmon_BT5_042,996,,,
BT5-042_P3,Knightmon_BT5_042,997,,,
BT5-043,Jijimon_BT5_043,998,,,
BT5-044,Sakuyamon_BT5_044,999,,,
BT5-044_P1,Sakuyamon_BT5_044,1000,,,
BT5-045,Lordknightmon_BT5_045,1001,,,
BT5-045_P1,Lordknightmon_BT5_045,1002,,,
BT5-045_P2,Lordknightmon_BT5_045,1003,,,
BT5-046,TeriamonAssistant_BT5_046,1004,,,
BT5-047,Parumon_BT5_047,1005,,,
BT5-048,,1006,,,
BT5-049,Kiwimon_BT5_049,1007,,,
BT5-050,Zassomon_BT5_050,1008,,,
BT5-051,,1009,,,
BT5-052,,1010,,,
BT5-053,Deramon_BT5_053,1011,,,
BT5-054,,1012,,,
BT5-055,Bancholilimon_BT5_055,1013,,,
BT5-056,Rafflesimon_BT5_056,1014,,,
BT5-057,Rosemon_BT5_057,1015,,,
BT5-058,Argomon_BT5_058,1016,,,
BT5-059,Keramon_BT5_059,1017,,,
BT5-060,Monitamon_BT5_060,1018,,,
BT5-061,Koemon_BT1_031,1019,,,
BT5-062,Mekanorimon_BT5_062,1020,,,
BT5-062_P1,Mekanorimon_BT5_062,1021,,,
BT5-063,Kurisarimon_BT5_063,1022,,,
BT5-064,Greymon_BT2_057,1023,,,
BT5-065,Shademon_BT5_065,1024,,,
BT5-066,,1025,,,
BT5-066_P1,,1026,,,
BT5-067,Infermon_BT5_067,1027,,,
BT5-068,Blackmahhagaogamon_BT5_068,1028,,,
BT5-069,Blackwargreymon_BT5_069,1029,,,
BT5-070,Metalgarurumon_BT5_070,1030,,,
BT5-071,Gilmon_BT5_071,1031,,,
BT5-071_P1,Gilmon_BT5_071,1032,,,
BT5-071_P2,Gilmon_BT5_071,1033,,,
BT5-071_P3,Gilmon_BT5_071,1034,,,
BT5-072,DrNiseagumon_BT5_072,1035,,,
BT5-073,,1036,,,
BT5-074,Torupumon_BT5_074,1037,,,
BT5-075,Tiranomon_BT1_016,1038,,,
BT5-076,Blackgraumon_BT5_076,1039,,,
BT5-077,,1040,,,
BT5-078,Jokermon_BT5_078,1041,,,
BT5-079,Blackmegaroguraumon_BT5_079,1042,,,
BT5-080,Zanbamon_BT5_080,1043,,,
BT5-081,ChaosDukemon_BT5_081,1044,,,
BT5-081_P1,ChaosDukemon_BT5_081,1045,,,
BT5-081_P2,ChaosDukemon_BT5_081,1046,,,
BT5-082,Tactimon_BT5_082,1047,,,
BT5-083,Megidramon_BT5_083,1048,,,
BT5-083_P1,Megidramon_BT5_083,1049,,,
BT5-084,Diaboromon_BT5_084,1050,,,
BT5-084_P1,Diaboromon_BT5_084,1051,,,
BT5-084_P2,Diaboromon_BT5_084,1052,,,
BT5-085,Armagemon_BT5_085,1053,,,
BT5-085_P1,Armagemon_BT5_085,1054,,,
BT5-086,Omegamon_BT5_086,1055,,,
BT5-086_P1,Omegamon_BT5_086,1056,,,
BT5-086_P2,Omegamon_BT5_086,1057,,,
BT5-086_P3,Omegamon_BT5_086,1058,,,
BT5-086_P4,Omegamon_BT5_086,1059,,,
BT5-087,OmegamonZuwalt_BT5_087,1060,,,
