カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1rxDKVCB9LCcB2dPNsKmge2DOvY6HHH6q
BT6-001,Puchimeramon_BT6_001,1097,,,
BT6-001_P1,Puchimeramon_BT6_001,1098,,,
BT6-001_P2,Puchimeramon_BT6_001,1099,,,
BT6-002,Kyaromon_BT6_002,1100,,,
BT6-002_P1,Kyaromon_BT6_002,1101,,,
BT6-003,Bibimon_BT6_003,1102,,,
BT6-003_P1,Bibimon_BT6_003,1103,,,
BT6-004,Pinamon_BT6_004,1104,,,
BT6-004_P1,Pinamon_BT6_004,1105,,,
BT6-005,Pagumon_BT6_005,1106,,,
BT6-005_P1,Pagumon_BT6_005,1107,,,
BT6-005_P2,Pagumon_BT6_005,1108,,,
BT6-006,Tsunomon_BT6_006,1109,,,
BT6-006_P1,Tsunomon_BT6_006,1110,,,
BT6-007,Agumon_BT6_007,1111,,,
BT6-007_P1,Agumon_BT6_007,1112,,,
BT6-008,Shoutmon_BT6_008,1113,,,
BT6-009,Hackmon_BT6_009,1114,,,
BT6-009_P1,Hackmon_BT6_009,1115,,,
BT6-009_P2,Hackmon_BT6_009,1116,,,
BT6-009_P3,Hackmon_BT6_009,1117,,,
BT6-010,Flaemon_BT6_010,1118,,,
BT6-011,Baohackmon_BT6_011,1119,,,
BT6-011_P1,Baohackmon_BT6_011,1120,,,
BT6-012,,1121,,,
BT6-013,Megadramon_BT6_013,1122,,,
BT6-014,Ashramon_BT6_014,1123,,,
BT6-015,Saberhackmon_BT6_015,1124,,,
BT6-015_P1,Saberhackmon_BT6_015,1125,,,
BT6-016,Jiesmon_BT6_016,1126,,,
BT6-016_P1,Jiesmon_BT6_016,1127,,,
BT6-016_P2,Jiesmon_BT6_016,1128,,,
BT6-017,Magnakidmon_BT6_017,1129,,,
BT6-017_P1,Magnakidmon_BT6_017,1130,,,
BT6-018,AgmonBondOfBrave_BT6_018,1131,,,
BT6-018_P1,AgmonBondOfBrave_BT6_018,1132,,,
