カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1tUVSda3al1U0yTHSavWNnnriP7NlCHZT
BT7-001,Kapurimon_BT7_001,1379,,,
BT7-002,Pukamon_BT7_002,1380,,,
BT7-003,Pusurimon_BT7_003,1381,,,
BT7-004,Koromon_BT7_004,1382,,,
BT7-004_P1,Koromon_BT7_004,1383,,,
BT7-005,Dorimon_BT7_005,1384,,,
BT7-005_P1,Dorimon_BT7_005,1385,,,
BT7-006,Chokomon_BT7_006,1386,,,
BT7-007,,1387,,,
BT7-008,Flaemon_BT7_008,1388,,,
BT7-008_P1,Flaemon_BT7_008,1389,,,
BT7-009,Hackmon_BT7_009,1390,,,
BT7-010,Taskmon_BT7_010,1391,,,
BT7-011,Vritoramon_BT7_011,1392,,,
BT7-012,,1393,,,
BT7-013,Metalgreymon_BT7_013,1394,,,
BT7-013_P1,Metalgreymon_BT7_013,1395,,,
BT7-014,Ardamon_BT7_014,1396,,,
BT7-015,Avengikidmon_BT7_015,1397,,,
BT7-016,Kaiselgreymon_BT7_016,1398,,,
BT7-016_P1,Kaiselgreymon_BT7_016,1399,,,
BT7-017,Chaosdramon_BT7_017,1400,,,
BT7-018,Gomamon_BT7_018,1401,,,
BT7-018_P1,Gomamon_BT7_018,1402,,,
BT7-019,Strabimon_BT7_019,1403,,,
BT7-019_P1,Strabimon_BT7_019,1404,,,
BT7-020,,1405,,,
BT7-021,Chackmon_BT7_021,1406,,,
BT7-021_P1,Chackmon_BT7_021,1407,,,
BT7-021_P2,Chackmon_BT7_021,1408,,,
BT7-022,Galmmon_BT7_022,1409,,,
BT7-023,Blizzarmon_BT7_023,1410,,,
BT7-023_P1,Blizzarmon_BT7_023,1411,,,
BT7-024,Daipenmon_BT7_024,1412,,,
BT7-025,Beowolfmon_BT7_025,1413,,,
BT7-026,Wargarurumon_BT7_026,1414,,,
BT7-026_P1,Wargarurumon_BT7_026,1415,,,
BT7-027,Whaemon_BT7_027,1416,,,
BT7-028,Kingwhaemon_BT7_028,1417,,,
BT7-029,Magunagarurumon_BT7_029,1418,,,
BT7-029_P1,Magunagarurumon_BT7_029,1419,,,
BT7-030,Ancientmegateriumon_BT7_030,1420,,,
BT7-030_P1,Ancientmegateriumon_BT7_030,1421,,,
BT7-031,Agumon_BT4_008,1422,,,
BT7-031_P1,Agumon_BT4_008,1423,,,
BT7-032,Pulsemon_BT7_032,1424,,,
BT7-033,Bulkmon_BT7_033,1425,,,
BT7-034,Fillmon_BT7_034,1426,,,
BT7-035,Fairymon_BT7_035,1427,,,
BT7-035_P1,Fairymon_BT7_035,1428,,,
BT7-035_P2,Fairymon_BT7_035,1429,,,
BT7-036,Shutsumon_BT7_036,1430,,,
BT7-036_P1,Shutsumon_BT7_036,1431,,,
BT7-036_P2,Shutsumon_BT7_036,1432,,,
BT7-037,Bautomon_BT7_037,1433,,,
BT7-038,JettSilfymon_BT7_038,1434,,,
BT7-039,Stifilmon_BT7_039,1435,,,
BT7-040,Rasenmon_BT7_040,1436,,,
BT7-040_P1,Rasenmon_BT7_040,1437,,,
BT7-041,Kaduchimon_BT7_041,1438,,,
BT7-041_P1,Kaduchimon_BT7_041,1439,,,
BT7-042,Ancientirismon_BT7_042,1440,,,
BT7-042_P1,Ancientirismon_BT7_042,1441,,,
BT7-043,Gotsumon_BT7_043,1442,,,
BT7-044,Betamon_BT7_044,1443,,,
BT7-044_P1,Betamon_BT7_044,1444,,,
BT7-044_P2,Betamon_BT7_044,1445,,,
BT7-045,Totamon_BT7_045,1446,,,
BT7-045_P1,Totamon_BT7_045,1447,,,
BT7-045_P2,Totamon_BT7_045,1448,,,
BT7-046,Blitzmon_BT7_046,1449,,,
BT7-046_P1,Blitzmon_BT7_046,1450,,,
BT7-046_P2,Blitzmon_BT7_046,1451,,,
BT7-047,Bolgmon_BT7_047,1452,,,
BT7-047_P1,Bolgmon_BT7_047,1453,,,
BT7-048,,1454,,,
BT7-049,Jagamon_BT1_078,1455,,,
BT7-050,,1456,,,
BT7-051,Rainokabuterimon_BT7_051,1457,,,
BT7-052,Sabelleomon_BT7_052,1458,,,
BT7-053,Dinorexmon_BT7_053,1459,,,
BT7-054,Ancientbeatmon_BT7_054,1460,,,
BT7-054_P1,Ancientbeatmon_BT7_054,1461,,,
BT7-055,Shenumon_BT7_055,1462,,,
BT7-056,Dorumon_BT7_056,1463,,,
BT7-056_P1,Dorumon_BT7_056,1464,,,
BT7-057,Monitamon_BT7_057,1465,,,
BT7-058,Skullknightmon_BT7_058,1466,,,
BT7-059,Deadlyaxemon_BT7_059,1467,,,
BT7-060,Grotmon_BT7_060,1468,,,
BT7-061,Gigasmon_BT7_061,1469,,,
BT7-062,Dorgamon_BT7_062,1470,,,
BT7-062_P1,Dorgamon_BT7_062,1471,,,
BT7-062_P2,Dorgamon_BT7_062,1472,,,
BT7-062_P3,Dorgamon_BT7_062,1473,,,
BT7-063,Darkknightmon_BT7_063,1474,,,
BT7-063_P1,Darkknightmon_BT7_063,1475,,,
BT7-064,Dolgremon_BT7_064,1476,,,
BT7-064_P1,Dolgremon_BT7_064,1477,,,
BT7-065,Dolgoramon_BT7_065,1478,,,
BT7-065_P1,Dolgoramon_BT7_065,1479,,,
BT7-066,Ancientvolcamon_BT7_066,1480,,,
BT7-067,,1481,,,
BT7-068,Ropmon_BT7_068,1482,,,
BT7-068_P1,Ropmon_BT7_068,1483,,,
BT7-069,EyesmonScatterMode_BT7_069,1484,,,
BT7-069_P1,EyesmonScatterMode_BT7_069,1485,,,
BT7-069_P2,EyesmonScatterMode_BT7_069,1486,,,
BT7-070,Wendymon_BT7_070,1487,,,
BT7-071,Rebemon_BT7_071,1488,,,
BT7-071_P1,Rebemon_BT7_071,1489,,,
BT7-071_P2,Rebemon_BT7_071,1490,,,
BT7-072,Eyesmon_BT7_072,1491,,,
BT7-073,Kaiserleomon_BT7_073,1492,,,
BT7-073_P1,Kaiserleomon_BT7_073,1493,,,
BT7-074,Antiramon_BT7_074,1494,,,
BT7-075,Raihimon_BT7_075,1495,,,
BT7-076,Orochimon_BT7_076,1496,,,
BT7-077,Nieshegmon_BT7_077,1497,,,
BT7-078,Ancientsphinkmon_BT7_078,1498,,,
BT7-078_P1,Ancientsphinkmon_BT7_078,1499,,,
BT7-079,Kerbimon_BT7_079,1500,,,
BT7-079_P1,Kerbimon_BT7_079,1501,,,
BT7-080,Nemon_BT7_080,1502,,,
BT7-080_P1,Nemon_BT7_080,1503,,,
BT7-080_P2,Nemon_BT7_080,1504,,,
BT7-080_P3,Nemon_BT7_080,1505,,,
BT7-081,Bokomon_BT7_081,1506,,,
BT7-081_P1,Bokomon_BT7_081,1507,,,
BT7-081_P2,Bokomon_BT7_081,1508,,,
BT7-081_P3,Bokomon_BT7_081,1509,,,
BT7-081_P4,Bokomon_BT7_081,1510,,,
BT7-082,SistermonBranAwaken_BT7_082,1511,,,
BT7-083,SistermonNowaruAwaken_BT7_083,1512,,,
BT7-084,Eosmon_BT7_084,1513,,,
BT7-085,KanbaraTakuya_BT7_085,1514,,,
BT7-085_P1,KanbaraTakuya_BT7_085,1515,,,
BT7-086,HimiTomoki_BT7_086,1516,,,
BT7-086_P1,HimiTomoki_BT7_086,1517,,,
BT7-087,MinamotoKouji_BT7_087,1518,,,
BT7-087_P1,MinamotoKouji_BT7_087,1519,,,
BT7-088,OrimotoIzumi_BT7_088,1520,,,
BT7-088_P1,OrimotoIzumi_BT7_088,1521,,,
BT7-089,ShibayamaJunpei_BT7_089,1522,,,
BT7-089_P1,ShibayamaJunpei_BT7_089,1523,,,
BT7-090,DoumotoKota_BT7_090,1524,,,
BT7-091,KimuraKouichi_BT7_091,1525,,,
BT7-091_P1,KimuraKouichi_BT7_091,1526,,,
BT7-092,FlameMemoryBoost_BT7_092,1527,,,
BT7-093,Enryuugeki_BT7_093,1528,,,
BT7-094,Gigastrom_BT7_094,1529,,,
BT7-095,BlueHawaiiDeath_BT7_095,1530,,,
BT7-096,StarlightVelocity_BT7_096,1531,,,
BT7-097,TidalWave_BT7_097,1532,,,
BT7-098,UltraTurbulance_BT7_098,1533,,,
BT7-099,ElekiRush_BT7_099,1534,,,
BT7-100,CorializeBlust_BT7_100,1535,,,
BT7-101,Thunderlaser_BT7_101,1536,,,
BT7-102,DinoMemoryBoost_BT7_102,1537,,,
BT7-103,Mugen_BT7_103,1538,,,
BT7-104,MetalCanon_BT7_104,1539,,,
BT7-105,PrideMemoryBoost_BT7_105,1540,,,
BT7-106,BraveMetal_BT7_106,1541,,,
BT7-106_P1,BraveMetal_BT7_106,1542,,,
BT7-107,CallFrromDarkness_BT7_107,1543,,,
BT7-108,ShvartzRailzats_BT7_108,1544,,,
BT7-109,DeadOrAlive_BT7_109,1545,,,
BT7-110,EvolutionAncient_BT7_110,1546,,,
BT7-110_P1,EvolutionAncient_BT7_110,1547,,,
BT7-110_P2,EvolutionAncient_BT7_110,1548,,,
BT7-110_P3,EvolutionAncient_BT7_110,1549,,,
BT7-110_P4,EvolutionAncient_BT7_110,1550,,,
BT7-111,LucemonFalldownMode_BT7_111,1551,,,
BT7-111_P1,LucemonFalldownMode_BT7_111,1552,,,
BT7-112,Susanoomon_BT7_112,1553,,,
BT7-112_P1,Susanoomon_BT7_112,1554,,,
