カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1hbYqKKzY0dGloL14DUYaTYQl6yjAwhzY
BT8-001,Grimon_BT8_001,1555,,,
BT8-002,Hiyarimon_BT8_002,1556,,,
BT8-003,Frimon_BT8_003,1557,,,
BT8-004,Bibimon_BT8_004,1558,,,
BT8-005,Kyokyomon_BT8_005,1559,,,
BT8-006,Puchimeramon_BT8_006,1560,,,
BT8-007,,1561,,,
BT8-008,Gammamon_BT8_008,1562,,,
BT8-008_P1,Gammamon_BT8_008,1563,,,
BT8-008_P2,Gammamon_BT8_008,1564,,,
BT8-008_P3,Gammamon_BT8_008,1565,,,
BT8-009,Hawkmon_BT8_009,1566,,,
BT8-009_P1,Hawkmon_BT8_009,1567,,,
BT8-010,Akilamon_BT8_010,1568,,,
BT8-011,Graumon_BT2_013,1569,,,
BT8-012,Flaedramon_BT8_012,1570,,,
BT8-012_P1,Flaedramon_BT8_012,1571,,,
BT8-013,Ashramon_BT6_014,1572,,,
BT8-013_P1,Ashramon_BT6_014,1573,,,
BT8-013_P2,Ashramon_BT6_014,1574,,,
BT8-013_P3,Ashramon_BT6_014,1575,,,
BT8-014,,1576,,,
BT8-015,Silfymon_BT8_015,1577,,,
BT8-016,Mastertiranomon_BT8_016,1578,,,
BT8-017,,1579,,,
BT8-018,Marsmon_BT8_018,1580,,,
BT8-019,Sutuemon_BT8_019,1581,,,
BT8-020,Patamon_BT8_020,1582,,,
BT8-021,Veemon_BT8_021,1583,,,
BT8-022,Yukiagumon_BT8_022,1584,,,
BT8-023,Submarimon_BT8_023,1585,,,
BT8-024,Angemon_BT8_024,1586,,,
BT8-025,Garurumon_ST2_06,1587,,,
BT8-026,Horsemon_BT8_026,1588,,,
BT8-026_P1,Horsemon_BT8_026,1589,,,
BT8-027,,1590,,,
BT8-028,Captainhookmon_BT8_028,1591,,,
BT8-029,Frozomon_BT8_029,1592,,,
BT8-030,,1593,,,
BT8-031,Frosbergmon_BT8_031,1594,,,
BT8-032,InperialdramonFighterMode_BT8_032,1595,,,
BT8-032_P1,InperialdramonFighterMode_BT8_032,1596,,,
BT8-032_P2,InperialdramonFighterMode_BT8_032,1597,,,
BT8-033,Almagimon_BT8_033,1598,,,
