カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,18ivqBivTMw2VtmBl7nXmUa86WuzMIfUx
BT9-001,Koromon_BT9_001,1775,,,
BT9-001_P1,Koromon_BT9_001,1776,,,
BT9-002,Puyoyomon_BT9_002,1777,,,
BT9-002_P1,Puyoyomon_BT9_002,1778,,,
BT9-003,TokomonXAntibody_BT9_003,1779,,,
BT9-003_P1,TokomonXAntibody_BT9_003,1780,,,
BT9-004,Mochimon_BT9_004,1781,,,
BT9-004_P1,Mochimon_BT9_004,1782,,,
BT9-004_P2,Mochimon_BT9_004,1783,,,
BT9-005,Goromon_BT9_005,1784,,,
BT9-005_P1,Goromon_BT9_005,1785,,,
BT9-006,Pagumon_BT9_006,1786,,,
BT9-006_P1,Pagumon_BT9_006,1787,,,
BT9-007,,1788,,,
BT9-008,AgumonXAntibody_BT9_008,1789,,,
BT9-008_P1,AgumonXAntibody_BT9_008,1790,,,
BT9-009,GilmonXAntibody_BT9_009,1791,,,
BT9-010,,1792,,,
BT9-011,GraumonXAntibody_BT9_011,1793,,,
BT9-012,GreymonXAntibody_BT9_012,1794,,,
BT9-013,OmegashoutmonXAntibody_BT9_013,1795,,,
BT9-014,MegarograumonXAntibody_BT9_014,1796,,,
BT9-015,MetalgreymonXAntibody_BT9_015,1797,,,
BT9-016,WargreymonXAntibody_BT9_016,1798,,,
BT9-016_P1,WargreymonXAntibody_BT9_016,1799,,,
BT9-017,DukemonXAntibody_BT9_017,1800,,,
BT9-017_P1,DukemonXAntibody_BT9_017,1801,,,
BT9-018,Dinorexmon_BT9_018,1802,,,
BT9-019,,1803,,,
BT9-020,GabumonXAntibody_BT9_020,1804,,,
BT9-020_P1,GabumonXAntibody_BT9_020,1805,,,
BT9-021,Jellymon_BT9_021,1806,,,
BT9-021_P1,Jellymon_BT9_021,1807,,,
BT9-022,,1808,,,
BT9-023,Cowsgammamon_BT9_023,1809,,,
BT9-024,GarurumonXAntibody_BT9_024,1810,,,
BT9-025,Tesrajellymon_BT9_025,1811,,,
BT9-026,Bushiagumon_BT4_038,1812,,,
BT9-027,,1813,,,
BT9-028,WargarurumonXAntibody_BT9_028,1814,,,
BT9-029,Suijinmon_BT9_029,1815,,,
BT9-030,Metalpiranimon_BT9_030,1816,,,
BT9-031,MetalgarurumonXAntibody_BT9_031,1817,,,
BT9-031_P1,MetalgarurumonXAntibody_BT9_031,1818,,,
BT9-032,,1819,,,
BT9-033,Pillowmon_BT9_033,1820,,,
BT9-034,ProtmonXAntibody_BT9_034,1821,,,
BT9-035,,1822,,,
BT9-036,TailmonXAntibody_BT9_036,1823,,,
BT9-037,Nefertimon_BT9_037,1824,,,
BT9-038,Pegasumon_BT9_038,1825,,,
BT9-039,,1826,,,
BT9-040,AngewomonXAntibody_BT9_040,1827,,,
BT9-041,RisegreymonXAntibody_BT9_041,1828,,,
BT9-042,Raijinmon_BT9_042,1829,,,
BT9-043,HolydramonXAntibody_BT9_043,1830,,,
BT9-044,MagnamonXAntibody_BT9_044,1831,,,
BT9-044_P1,MagnamonXAntibody_BT9_044,1832,,,
BT9-045,,1833,,,
BT9-046,KokuwamonXAntibody_BT9_046,1834,,,
BT9-047,Pillowmon_BT9_033,1835,,,
BT9-048,,1836,,,
BT9-049,KuwagamonXAntibody_BT9_049,1837,,,
BT9-050,LeomonXAntibody_BT9_050,1838,,,
BT9-051,PanjamonXAntibody_BT9_051,1839,,,
BT9-052,OokuwamonXAntibody_BT9_052,1840,,,
BT9-053,,1841,,,
BT9-054,Fuujinmon_BT9_054,1842,,,
BT9-055,Grandiskuwagamon_BT9_055,1843,,,
BT9-055_P1,Grandiskuwagamon_BT9_055,1844,,,
BT9-056,Dinotaigamon_BT9_056,1845,,,
BT9-057,,1846,,,
BT9-058,Dorumon_BT9_058,1847,,,
BT9-058_P1,Dorumon_BT9_058,1848,,,
BT9-059,Bakumon_BT9_059,1849,,,
BT9-060,,1850,,,
BT9-061,Monokuromon_BT9_061,1851,,,
BT9-062,Lapterdramon_BT9_062,1852,,,
BT9-063,,1853,,,
BT9-064,Grademon_BT9_064,1854,,,
BT9-064_P1,Grademon_BT9_064,1855,,,
BT9-065,Megadramon_BT9_065,1856,,,
BT9-066,Alphamon_BT9_066,1857,,,
BT9-066_P1,Alphamon_BT9_066,1858,,,
BT9-067,Raidenmon_BT9_067,1859,,,
BT9-068,Gaioumon_BT9_068,1860,,,
BT9-068_P1,Gaioumon_BT9_068,1861,,,
BT9-069,Baifumon_BT9_069,1862,,,
BT9-070,GajimonXAntibody_BT9_070,1863,,,
BT9-071,Dracmon_BT9_071,1864,,,
BT9-072,Protmon_BT9_072,1865,,,
BT9-073,Sangurumon_BT9_073,1866,,,
BT9-074,Meikumon_BT9_074,1867,,,
BT9-074_P1,Meikumon_BT9_074,1868,,,
BT9-075,Dexdorgamon_BT9_075,1869,,,
BT9-076,MeikurakumonVicasuMode_BT9_076,1870,,,
BT9-077,Matadurumon_BT9_077,1871,,,
BT9-078,Dexdoruguremon_BT9_078,1872,,,
BT9-079,Grandracmon_BT9_079,1873,,,
BT9-080,Ragelmon_BT9_080,1874,,,
BT9-080_P1,Ragelmon_BT9_080,1875,,,
BT9-081,Dexdrgoramon_BT9_081,1876,,,
BT9-081_P1,Dexdrgoramon_BT9_081,1877,,,
BT9-082,Ordinemon_BT9_082,1878,,,
BT9-082_P1,Ordinemon_BT9_082,1879,,,
BT9-083,OmegamonMercifulMode_BT9_083,1880,,,
BT9-083_P1,OmegamonMercifulMode_BT9_083,1881,,,
BT9-084,YagamiTaichiAndYagamiHikari_BT9_084,1882,,,
BT9-085,IshidaYamatoAndTaklenouchiSora_BT9_085,1883,,,
BT9-086,HigashiMitaraiKiyoshirou_BT9_086,1884,,,
BT9-087,TakaishiTakeruAndIzumiKoushirou_BT9_087,1885,,,
BT9-088,TachikawaMimiAndKidoJou_BT9_088,1886,,,
BT9-089,NishijimaDaigo_BT9_089,1887,,,
BT9-090,HimekawaMaki_BT9_090,1888,,,
BT9-091,MochizukiMeiko_BT9_091,1889,,,
BT9-092,CoolBoy_BT9_092,1890,,,
BT9-093,FlareRockSoul_BT9_093,1891,,,
BT9-094,AtomicMegaroBluster_BT9_094,1892,,,
BT9-095,GaiaforceZero_BT9_095,1893,,,
BT9-096,BibiThunder_BT9_096,1894,,,
BT9-097,MetalStorm_BT9_097,1895,,,
BT9-098,GoldDejizoidAwaken_BT9_098,1896,,,
BT9-099,SunriseBuster_BT9_099,1897,,,
BT9-100,GrandisScissor_BT9_100,1898,,,
BT9-101,GroundFung_BT9_101,1899,,,
BT9-102,HeavyDigimonBlitz_BT9_102,1900,,,
BT9-103,Kongou_BT9_103,1901,,,
BT9-104,Xevolution_BT9_104,1902,,,
BT9-105,DigitalizeOfSoul_BT9_105,1903,,,
BT9-106,Dexlution_BT9_106,1904,,,
BT9-107,MetalInpulse_BT9_107,1905,,,
BT9-108,EyeOfTheGogon_BT9_108,1906,,,
BT9-109,XAntibody_BT9_109,1907,,,
BT9-109_P1,XAntibody_BT9_109,1908,,,
BT9-110,XProgram_BT9_110,1909,,,
BT9-111,AlphamonOuryuuken_BT9_111,1910,,,
BT9-111_P1,AlphamonOuryuuken_BT9_111,1911,,,
BT9-112,Dexmon_BT9_112,1912,,,
BT9-112_P1,,1913,,,
