カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1cAFkvyfUpzY_G4nQE3b2nkLslPeEMtsC
EX1-001,Agumon_EX1_001,1259,,,
EX1-001_P1,Agumon_EX1_001,1260,,,
EX1-002,Piyomon_EX1_002,1261,,,
EX1-002_P1,Piyomon_EX1_002,1262,,,
EX1-003,Birdramon_EX1_003,1263,,,
EX1-004,Greymon_EX1_004,1264,,,
EX1-004_P1,Greymon_EX1_004,1265,,,
EX1-005,Tiranomon_EX1_005,1266,,,
EX1-005_P1,Tiranomon_EX1_005,1267,,,
EX1-006,Garudamon_EX1_006,1268,,,
EX1-006_P1,Garudamon_EX1_006,1269,,,
EX1-007,Megadramon_EX1_007,1270,,,
EX1-007_P1,Megadramon_EX1_007,1271,,,
EX1-007_P2,Megadramon_EX1_007,1272,,,
EX1-007_P3,Megadramon_EX1_007,1273,,,
EX1-008,Metalgreymon_EX1_008,1274,,,
EX1-008_P1,Metalgreymon_EX1_008,1275,,,
EX1-008_P2,Metalgreymon_EX1_008,1276,,,
EX1-009,Wargreymon_EX1_009,1277,,,
EX1-009_P1,Wargreymon_EX1_009,1278,,,
EX1-010,Houohmon_EX1_010,1279,,,
EX1-011,Gabumon_EX1_011,1280,,,
EX1-011_P1,Gabumon_EX1_011,1281,,,
EX1-012,Gomamon_EX1_012,1282,,,
EX1-012_P1,Gomamon_EX1_012,1283,,,
EX1-013,Veemon_EX1_013,1284,,,
EX1-013_P1,Veemon_EX1_013,1285,,,
EX1-014,Exveemon_EX1_014,1286,,,
EX1-014_P1,Exveemon_EX1_014,1287,,,
EX1-015,Garurumon_EX1_015,1288,,,
EX1-015_P1,Garurumon_EX1_015,1289,,,
EX1-016,Ikkakumon_EX1_016,1290,,,
EX1-017,Wargarurumon_EX1_017,1291,,,
EX1-017_P1,Wargarurumon_EX1_017,1292,,,
EX1-018,Zudomon_EX1_018,1293,,,
EX1-018_P1,Zudomon_EX1_018,1294,,,
EX1-019,Piledramon_EX1_019,1295,,,
EX1-019_P1,Piledramon_EX1_019,1296,,,
EX1-020,Presiomon_EX1_020,1297,,,
EX1-021,Metalgarurumon_EX1_021,1298,,,
EX1-021_P1,Metalgarurumon_EX1_021,1299,,,
EX1-022,Inperialdramon_EX1_022,1300,,,
EX1-022_P1,Inperialdramon_EX1_022,1301,,,
EX1-023,Elekimon_EX1_023,1302,,,
EX1-024,Patamon_EX1_024,1303,,,
EX1-024_P1,Patamon_EX1_024,1304,,,
EX1-024_P2,Patamon_EX1_024,1305,,,
EX1-025,Purottomon_EX1_025,1306,,,
EX1-025_P1,Purottomon_EX1_025,1307,,,
EX1-026,Tailmon_EX1_026,1308,,,
EX1-026_P1,Tailmon_EX1_026,1309,,,
EX1-027,Leomon_EX1_027,1310,,,
EX1-028,Angemon_EX1_028,1311,,,
EX1-029,Holyangemon_EX1_029,1312,,,
EX1-029_P1,Holyangemon_EX1_029,1313,,,
EX1-030,Angewomon_EX1_030,1314,,,
EX1-030_P1,Angewomon_EX1_030,1315,,,
EX1-031,Seraphimon_EX1_031,1316,,,
EX1-032,Holydramon_EX1_032,1317,,,
EX1-033,Tentomon_EX1_033,1318,,,
EX1-033_P1,Tentomon_EX1_033,1319,,,
EX1-034,Parumon_EX1_034,1320,,,
