カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1P8FkiGDy6OS7oEv5UtaX6AuPZO4uz85p
EX2-001,Gigimon_EX2_001,1914,,,
EX2-001_P1,Gigimon_EX2_001,1915,,,
EX2-002,Shaomon_EX2_002,1916,,,
EX2-003,Pokomon_EX2_003,1917,,,
EX2-003_P1,Pokomon_EX2_003,1918,,,
EX2-004,Gumimon_EX2_004,1919,,,
EX2-004_P1,Gumimon_EX2_004,1920,,,
EX2-005,Hopmon_EX2_005,1921,,,
EX2-006,Yamon_EX2_006,1922,,,
EX2-006_P1,Yamon_EX2_006,1923,,,
EX2-007,MotherDeLeeper_EX2_007,1924,,,
EX2-008,Gilmon_EX2_008,1925,,,
EX2-008_P1,Gilmon_EX2_008,1926,,,
EX2-009,Graumon_EX2_009,1927,,,
EX2-009_P1,Graumon_EX2_009,1928,,,
EX2-009_P2,Graumon_EX2_009,1929,,,
EX2-009_P3,Graumon_EX2_009,1930,,,
EX2-010,Megarograumon_EX2_010,1931,,,
EX2-010_P1,Megarograumon_EX2_010,1932,,,
EX2-010_P2,Megarograumon_EX2_010,1933,,,
EX2-011,Dukemon_EX2_011,1934,,,
EX2-011_P1,Dukemon_EX2_011,1935,,,
EX2-011_P2,Dukemon_EX2_011,1936,,,
EX2-012,Megidramon_EX2_012,1937,,,
EX2-012_P1,Megidramon_EX2_012,1938,,,
EX2-013,Labramon_EX2_013,1939,,,
EX2-014,Icedevimon_EX2_014,1940,,,
EX2-015,Tiranomon_BT1_016,1941,,,
EX2-016,Gorimon_EX2_016,1942,,,
EX2-017,Leomon_EX2_017,1943,,,
EX2-017_P1,Leomon_EX2_017,1944,,,
EX2-018,Marineangemon_EX2_018,1945,,,
EX2-018_P1,Marineangemon_EX2_018,1946,,,
EX2-019,Renamon_EX2_019,1947,,,
EX2-019_P1,Renamon_EX2_019,1948,,,
EX2-020,Ropmon_EX2_020,1949,,,
EX2-021,Kyuubimon_EX2_021,1950,,,
EX2-022,Antiramon_EX2_022,1951,,,
