カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,18UZlanH85C9AzRuL9S50N4E0uT4-V_Qw
EX3-001,Babydramon_EX3_001,2171,,,
EX3-002,Missimon_EX3_002,2172,,,
EX3-003,Sunarizamon_EX3_003,2173,,,
EX3-004,Veemon_EX3_004,2174,,,
EX3-005,Vobomon_EX3_005,2175,,,
EX3-006,Flarelizamon_EX3_006,2176,,,
EX3-007,Ravobomon_EX3_007,2177,,,
EX3-008,Flaedramon_EX3_008,2178,,,
EX3-009,Flarelizamon_EX3_006,2179,,,
EX3-010,Piledramon_EX3_010,2180,,,
EX3-010_P1,Piledramon_EX3_010,2181,,,
EX3-011,Ravogaretamon_EX3_011,2182,,,
EX3-012,Volcanicdramon_EX3_012,2183,,,
EX3-012_P1,Volcanicdramon_EX3_012,2184,,,
EX3-013,Chaosdramon_EX3_013,2185,,,
EX3-013_P1,Chaosdramon_EX3_013,2186,,,
EX3-014,Dorvicmon_EX3_014,2187,,,
EX3-014_P1,Dorvicmon_EX3_014,2188,,,
EX3-015,Ganimon_EX3_015,2189,,,
EX3-016,Yukiagumon_EX3_016,2190,,,
EX3-017,Ebidramon_EX3_017,2191,,,
EX3-018,Coredramon_EX3_018,2192,,,
EX3-019,Paledramon_EX3_019,2193,,,
EX3-020,Wingdramon_EX3_020,2194,,,
EX3-020_P1,Wingdramon_EX3_020,2195,,,
EX3-021,Cryspaledramon_EX3_021,2196,,,
EX3-022,Megaseadramon_EX3_022,2197,,,
EX3-023,Puresiomon_EX3_023,2198,,,
EX3-024,Slayerdramon_EX3_024,2199,,,
EX3-024_P1,Slayerdramon_EX3_024,2200,,,
EX3-025,Chinronmon_EX3_025,2201,,,
EX3-025_P1,Chinronmon_EX3_025,2202,,,
EX3-026,Esisdramon_EX3_026,2203,,,
EX3-026_P1,Esisdramon_EX3_026,2204,,,
EX3-027,Agumon_EX3_027,2205,,,
EX3-028,Patamon_EX3_028,2206,,,
EX3-029,Airdramon_EX3_029,2207,,,
EX3-030,Tailmon_EX3_030,2208,,,
EX3-031,Vdramon_EX3_031,2209,,,
EX3-032,Majiramon_EX3_032,2210,,,
EX3-033,Airovdramon_EX3_033,2211,,,
EX3-034,Angewomon_EX3_034,2212,,,
EX3-035,Goddramon_EX3_035,2213,,,
EX3-035_P1,Goddramon_EX3_035,2214,,,
EX3-036,Holydramon_EX3_036,2215,,,
EX3-036_P1,Holydramon_EX3_036,2216,,,
EX3-037,Dracomon_EX3_037,2217,,,
EX3-037_P1,Dracomon_EX3_037,2218,,,
EX3-038,Pomumon_EX3_038,2219,,,
EX3-039,Coredramon_EX3_039,2220,,,
EX3-040,Parasaumon_EX3_040,2221,,,
EX3-041,Groundramon_EX3_041,2222,,,
EX3-041_P1,Groundramon_EX3_041,2223,,,
EX3-042,Tropiamon_EX3_042,2224,,,
EX3-043,Entmon_EX3_043,2225,,,
EX3-044,Breakdramon_EX3_044,2226,,,
EX3-044_P1,Breakdramon_EX3_044,2227,,,
EX3-045,Hyudramon_EX3_045,2228,,,
EX3-045_P1,Hyudramon_EX3_045,2229,,,
EX3-046,Commandramon_EX3_046,2230,,,
EX3-047,Jazamon_EX3_047,2231,,,
EX3-048,Jazardmon_EX3_048,2232,,,
EX3-049,Shieldsdramon_EX3_049,2233,,,
EX3-049_P1,Shieldsdramon_EX3_049,2234,,,
EX3-050,Cyberdramon_EX3_050,2235,,,
EX3-051,Tankdramon_EX3_051,2236,,,
EX3-052,Jazarihhimon_EX3_052,2237,,,
EX3-053,Metaricdramon_EX3_053,2238,,,
EX3-053_P1,Metaricdramon_EX3_053,2239,,,
EX3-054,Darkdramon_EX3_054,2240,,,
EX3-054_P1,Darkdramon_EX3_054,2241,,,
EX3-055,Wormmon_EX3_055,2242,,,
EX3-056,Gilmon_EX3_056,2243,,,
EX3-057,Graumon_EX3_057,2244,,,
EX3-058,Shadramon_EX3_058,2245,,,
EX3-059,Darktiranomon_EX3_059,2246,,,
EX3-060,Extiranomon_EX3_060,2247,,,
EX3-061,Dinobeemon_EX3_061,2248,,,
EX3-061_P1,Dinobeemon_EX3_061,2249,,,
EX3-062,Megarograumon_EX3_062,2250,,,
EX3-063,ImperialdramonDragonMode_EX3_063,2251,,,
EX3-063_P1,ImperialdramonDragonMode_EX3_063,2252,,,
EX3-064,Megidramon_EX3_064,2253,,,
EX3-064_P1,Megidramon_EX3_064,2254,,,
EX3-065,KuriharaHina_EX3_065,2255,,,
EX3-065_P1,KuriharaHina_EX3_065,2256,,,
EX3-066,HyperMugenCanon_EX3_066,2257,,,
EX3-067,Sourai_EX3_067,2258,,,
EX3-068,Godflame_EX3_068,2259,,,
EX3-069,FourDragonsTrial_EX3_069,2260,,,
EX3-070,AvalonsGate_EX3_070,2261,,,
EX3-071,RaserCanon_EX3_071,2262,,,
EX3-072,MegidFlame_EX3_072,2263,,,
EX3-073,ImperialdramonFighterMode_EX3_073,2264,,,
EX3-073_P1,ImperialdramonFighterMode_EX3_073,2265,,,
EX3-074,Examon_EX3_074,2266,,,
EX3-074_P1,Examon_EX3_074,2267,,,
