カード画像ファイル名,効果クラス名,カードIndex,最大枚数,,空欄,1xMQv2IWb4lYT6khNLTSnCZjFtzTQQTFF,,
EX4-001,Missimon_EX4_001,2544,,,,,,
EX4-002,Chokomon_EX4_002,2545,,,,,,
EX4-003,Tsunomon_EX4_003,2546,,,,,,
EX4-004,Pinamon_EX4_004,2547,,,,,,
EX4-005,Agumon_EX4_005,2548,,,,,,
EX4-006,Gilmon_EX4_006,2549,,,,,,
EX4-007,Geogreymon_EX4_007,2550,,,,,,
EX4-008,Blackgrowmon_EX4_008,2551,,,,,,
EX4-009,Risegreymon_EX4_009,2552,,,,,,
EX4-010,Blackmegarograumon_EX4_010,2553,,,,,,
EX4-011,Chaosdukemon_EX4_011,2554,,,,,, 
EX4-011_P1,Chaosdukemon_EX4_011,2555,,,,,,
EX4-012,Victorygreymon_EX4_012,2556,,,,,,
EX4-012_P1,Victorygreymon_EX4_012,2557,,,,,,
EX4-013,Medivaldukemon_EX4_013,2558,,,,,,
EX4-013_P1,Medivaldukemon_EX4_013,2559,,,,,,
EX4-014,Gaosmon_EX4_014,2560,,,,,,
EX4-015,Gaomon_EX4_015,2561,,,,,,
EX4-016,Greymon_EX4_016,2562,,,,,,
EX4-017,Gaogamon_EX4_017,2563,,,,,,
EX4-018,Malebirdramon_EX4_018,2564,,,,,,
EX4-019,Mahhagaogamon_EX4_019,2565,,,,,,
EX4-020,Metalgreymon_EX4_020,2566,,,,,,
EX4-021,Greyknightsmon_EX4_021,2567,,,,,,
EX4-021_P1,Greyknightsmon_EX4_021,2568,,,,,,
EX4-022,Zeedgarurumon_EX4_022,2569,,,,,,
EX4-022_P1,Zeedgarurumon_EX4_022,2570,,,,,,
EX4-023,DrAgumon_EX4_023,2571,,,,,,
EX4-024,Renamon_EX4_024,2572,,,,,,
EX4-025,Turuiemon_EX4_025,2573,,,,,,
EX4-026,Youkomon_EX4_026,2574,,,,,,
EX4-027,Goldvdramon_EX4_027,2575,,,,,,
EX4-027_P1,Goldvdramon_EX4_027,2576,,,,,,
EX4-028,Doumon_EX4_028,2577,,,,,,
EX4-029,Antiramon_EX4_029,2578,,,,,,
EX4-030,Kuzuhamon_EX4_030,2579,,,,,,
EX4-030_P1,Kuzuhamon_EX4_030,2580,,,,,,
EX4-031,Kervimon_EX4_031,2581,,,,,,
EX4-032,Teriamon_EX4_032,2582,,,,,,
EX4-033,TeriamonAssistant_EX4_033,2583,,,,,,
EX4-033_P1,TeriamonAssistant_EX4_033,2584,,,,,,
EX4-034,Ropmon_EX4_034,2585,,,,,,
EX4-035,Blackgargomon_EX4_035,2586,,,,,,
EX4-036,Blackrapidmon_EX4_036,2587,,,,,,
EX4-037,Blackcentgargomon_EX4_037,2588,,,,,,
EX4-037_P1,Blackcentgargomon_EX4_037,2589,,,,,,
EX4-038,Agumon_EX4_038,2590,,,,,,
EX4-039,Gabumon_EX4_039,2591,,,,,,
EX4-040,Skullknightmon_EX4_040,2592,,,,,,
EX4-041,Deadlyaxemon_EX4_041,2593,,,,,,
EX4-042,Darkmaledramon_EX4_042,2594,,,,,,
EX4-043,Garurumon_EX4_043,2595,,,,,,
EX4-044,Greymon_EX4_044,2596,,,,,,
EX4-045,Metalgreymon_EX4_045,2597,,,,,,
EX4-046,Wargarurumon_EX4_046,2598,,,,,,
EX4-047,Darkknightmon_EX4_047,2599,,,,,,
EX4-048,Gaioumon_EX4_048,2600,,,,,,
EX4-048_P1,Gaioumon_EX4_048,2601,,,,,,
EX4-049,Kuresgarurumon_EX4_049,2602,,,,,,
EX4-049_P1,Kuresgarurumon_EX4_049,2603,,,,,,
EX4-050,Blackseraphimon_EX4_050,2604,,,,,,
EX4-050_P1,Blackseraphimon_EX4_050,2605,,,,,,
EX4-051,Blitzgreymon_EX4_051,2606,,,,,,
EX4-051_P1,Blitzgreymon_EX4_051,2607,,,,,,
