カード画像ファイル名,効果クラス名,カードIndex,最大枚数,,空欄,1b04L7jxP59Cn1iL5Cvg3bSknYjB9UM9h,,
EX5-001,Sunmon_EX5_001,3040,,,,,,
EX5-002,Moonmon_EX5_002,3041,,,,,,
EX5-003,Nyaromon_EX5_003,3042,,,,,,
EX5-004,Furimon_EX5_004,3043,,,,,,
EX5-005,Tokomon_EX5_005,3044,,,,,,
EX5-006,Shaomon_EX5_006,3045,,,,,,
EX5-007,Coronamon_EX5_007,3046,,,,,,
EX5-008,Fairamon_EX5_008,3047,,,,,,
EX5-009,Indaramon_EX5_009,3048,,,,,,
EX5-010,Santiramon_EX5_010,3049,,,,,,
EX5-011,Pajiramon_EX5_011,3050,,,,,, 
EX5-012,Flaremon_EX5_012,3051,,,,,,
EX5-013,SutuemonAce_EX5_013,3052,,,,,,
EX5-014,Apolomon_EX5_014,3053,,,,,,
EX5-015,GabumonXAitibody_EX5_015,3054,,,,,,
EX5-016,Lunamon_EX5_016,3055,,,,,,
EX5-017,Rekisumon_EX5_017,3056,,,,,,
EX5-018,GarurumonXAntibody_EX5_018,3057,,,,,,
EX5-019,Antiramon_EX5_019,3058,,,,,,
EX5-020,Kureshemon_EX5_020,3059,,,,,,
EX5-021,Majiramon_EX5_021,3060,,,,,,
EX5-022,Mihiramon_EX5_022,3061,,,,,,
EX5-023,WargarurumonXAntibody_EX5_023,3062,,,,,,
EX5-024,ChinronmonAce_EX5_024,3063,,,,,,
EX5-025,Dianamon_EX5_025,3064,,,,,,
EX5-026,MetalgarurumonXAntibody_EX5_026,3065,,,,,,
EX5-027,Leorumon_EX5_027,3066,,,,,,
EX5-028,Kudamon_EX5_028,3067,,,,,,
EX5-029,Reppamon_EX5_029,3068,,,,,,
EX5-030,Laiamon_EX5_030,3069,,,,,,
EX5-031,Chiirinmon_EX5_031,3070,,,,,,
EX5-032,Lorderleomon_EX5_032,3071,,,,,,
EX5-033,Mitamamon_EX5_033,3072,,,,,,
EX5-034,Bancholeomon_EX5_034,3073,,,,,,
EX5-035,Hawkmon_EX5_035,3074,,,,,,
EX5-036,Akwiramon_EX5_036,3075,,,,,,
EX5-037,Vajiramon_EX5_037,3076,,,,,,
EX5-038,Vikararamon_EX5_038,3077,,,,,,
EX5-039,Garudamon_EX5_039,3078,,,,,,
EX5-040,Kunbiramon_EX5_040,3079,,,,,,
EX5-041,Shenumon_EX5_041,3080,,,,,,
EX5-042,Merukurimon_EX5_042,3081,,,,,,
EX5-043,DufutomonXAntibody_EX5_043,3082,,,,,,
EX5-044,Elekimon_EX5_044,3083,,,,,,
EX5-045,Chumon_EX5_045,3084,,,,,,
EX5-046,Targetmon_EX5_046,3085,,,,,,
EX5-047,Leomon_EX5_047,3086,,,,,,
EX5-048,Etemon_EX5_048,3087,,,,,,
EX5-049,Grapleomon_EX5_049,3088,,,,,,
EX5-050,Sinduramon_EX5_050,3089,,,,,,
EX5-051,Chatsuramon_EX5_051,3090,,,,,,
EX5-052,Makuramon_EX5_052,3091,,,,,,
EX5-053,BaifumonAce_EX5_053,3092,,,,,,
EX5-054,Metaletemon_EX5_054,3093,,,,,,
EX5-055,Heavyleomon_EX5_055,3094,,,,,,
EX5-056,Shakomon_EX5_056,3095,,,,,,
EX5-057,Rabramon_EX5_057,3096,,,,,,
EX5-058,Okutamon_EX5_058,3097,,,,,,
EX5-059,DoberumonXAntibody_EX5_059,3098,,,,,,
EX5-060,Dagomon_EX5_060,3099,,,,,,
EX5-061,KeruberomonXAntibody_EX5_061,3100,,,,,,
EX5-062,Anubimon_EX5_062,3101,,,,,,
EX5-063,Leviamon_EX5_063,3102,,,,,,
EX5-064,KouAndSayo_EX5_064,3103,,,,,,
EX5-065,SayoAndKou_EX5_065,3104,,,,,,
EX5-066,FoibossBlow_EX5_066,3105,,,,,,
EX5-067,GoodKnightMoon_EX5_067,3106,,,,,,
EX5-068,FlashBanchoPunch_EX5_068,3107,,,,,,
EX5-069,Lostrum_EX5_069,3108,,,,,,
EX5-070,XAntibodyPF_EX5_070,3109,,,,,,
EX5-071,RoyalityDepperThanSea_EX5_071,3110,,,,,,
EX5-072,HolyBeastGreateCircle_EX5_072,3111,,,,,,
EX5-073,Glacenovamon_EX5_073,3112,,,,,,
EX5-074,Fanronmon_EX5_074,3113,,,,,,
