カード画像ファイル名,効果クラス名,カードIndex,最大枚数,,空欄,1JsuQ2fpw3gAi1D8W6qwqw6ZFxlR5Z9vd,,
LM-001,Siriusmon_LM_001,3246,,,,,,
LM-002,Jellymon_LM_002,3247,,,,,,
LM-003,TeslaJellymon_LM_003,3248,,,,,,
LM-004,Thetismon_LM_004,3249,,,,,,
LM-005,Amphimon_LM_005,3250,,,,,,
LM-006,Cthyllamon_LM_006,3251,,,,,,
LM-007,Publimon_LM_007,3252,,,,,,
LM-008,Angoramon_LM_008,3253,,,,,,
LM-009,Airdramon_LM_009,3254,,,,,,
LM-010,Chamblemon_LM_010,3255,,,,,,
LM-011,SymbareAngoramon_LM_011,3256,,,,,, 
LM-012,Lamortmon_LM_012,3257,,,,,,
LM-013,Diarbbitmon_LM_013,3258,,,,,,
LM-014,Espimon_LM_014,3259,,,,,,
LM-015,Ryudamon_LM_015,3260,,,,,,
LM-016,Gammamon_LM_016,3261,,,,,,
LM-017,Regulusmon_LM_017,3262,,,,,,
LM-018,Gyuukimon_LM_018,3263,,,,,,
LM-019,Bokomon_LM_019,3264,,,,,,
LM-020,Quantumon_LM_020,3265,,,,,,
