カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1D7iHogafZMTB2kCXtN49lrHCyQfqVAqE,,,
P-001,Agumon_P_001,6000,,,,,,
P-001_P1,Agumon_P_001,6001,,,,,,
P-001_P2,Agumon_P_001,6002,,,,,,
P-002,Piyomon_P_002,6003,,,,,,
P-002_P1,Piyomon_P_002,6004,,,,,,
P-003,Gomamon_EX1_012,6005,,,,,,
P-003_P1,Gomamon_EX1_012,6006,,,,,,
P-004,Burukomon_BT5_022,6007,,,,,,
P-004_P1,Burukomon_BT5_022,6008,,,,,,
P-004_P2,Burukomon_BT5_022,6009,,,,,,
P-004_P3,Burukomon_BT5_022,6010,,,,,, 
P-005,Patamon_P_005,6011,,,,,,
P-005_P1,Patamon_P_005,6012,,,,,,
P-005_P2,Patamon_P_005,6013,,,,,,
P-006,Tailmon_P_006,6014,,,,,,
P-006_P1,Tailmon_P_006,6015,,,,,,
P-007,Garurumon_P_007,6016,,,,,,
P-008,Wargarurumon_P_008,6017,,,,,,
P-008_P1,Wargarurumon_P_008,6018,,,,,,
P-008_P2,Wargarurumon_P_008,6019,,,,,,
P-008_P3,Wargarurumon_P_008,6020,,,,,,
P-008_P4,Wargarurumon_P_008,6021,,,,,,
P-009,Agumon_P_009,6022,,,,,,
P-009_P1,Agumon_P_009,6023,,,,,,
P-009_P2,Agumon_P_009,6024,,,,,,
P-010,Greymon_P_010,6025,,,,,,
P-010_P1,Greymon_P_010,6026,,,,,,
P-010_P2,Greymon_P_010,6027,,,,,,
P-010_P3,Greymon_P_010,6028,,,,,,
P-011,VdramonZero_P_011,6029,,,,,,
P-012,YagamiTaichi_P_012,6030,,,,,,
P-013,Clockmon_BT3_066,6031,,,,,,
P-013_P1,Clockmon_BT3_066,6032,,,,,,
P-014,Coredramon_ST1_06,6033,,,,,,
P-014_P1,Coredramon_ST1_06,6034,,,,,,
P-015,Infermon_P_015,6035,,,,,,
P-016,Diaboromon_P_016,6036,,,,,,
P-016_P1,Diaboromon_P_016,6037,,,,,,
P-016_P2,Diaboromon_P_016,6038,,,,,,
P-016_P3,Diaboromon_P_016,6039,,,,,,
P-016_P4,Diaboromon_P_016,6040,,,,,,
P-017,Pikodevimon_P_017,6041,,,,,,
P-018,Bastemon_ST10_11,6042,,,,,,
P-018_P1,Bastemon_ST10_11,6043,,,,,,
P-019,Saverdramon_BT3_080,6044,,,,,,
P-020,Venomvandemon_P_020,6045,,,,,,
P-021,NewWorld_P_021,6046,,,,,,
P-022,JogressOurHeartIsOne_P_022,6047,,,,,,
P-023,PatamonsConfession_P_023,6048,,,,,,
P-024,TaichiYouGrowingUp_P_024,6049,,,,,,
P-025,Grankuwagamon_P_025,6050,,,,,,
P-026,Blackwargreymon_P_026,6051,,,,,,
P-027,Metalgarurumon_P_027,6052,,,,,,
P-028,Pulsemon_P_028,6053,,,,,,
P-028_P1,Pulsemon_P_028,6054,,,,,,
P-028_P2,Pulsemon_P_028,6055,,,,,,
P-029,Agunimon_P_029,6056,,,,,,
P-029_P1,Agunimon_P_029,6057,,,,,,
P-030,Vorufumon_P_030,6058,,,,,,
P-030_P1,Vorufumon_P_030,6059,,,,,,
P-031,Tailmon_P_031,6060,,,,,,
P-032,Parumon_P_032,6061,,,,,,
P-032_P1,Parumon_P_032,6062,,,,,,
P-033,Sunarizamon_P_033,6063,,,,,,
P-033_P1,Sunarizamon_P_033,6064,,,,,,
P-033_P2,Sunarizamon_P_033,6065,,,,,,
P-034,Pikodevimon_P_034,6066,,,,,,
P-035,RedMemoryBoost_P_035,6067,,,,,,
P-035_P1,RedMemoryBoost_P_035,6068,,,,,,
P-036,BlueMemoryBoost_P_036,6069,,,,,,
P-036_P1,BlueMemoryBoost_P_036,6070,,,,,,
P-037,YellowMemoryBoost_P_037,6071,,,,,,
P-037_P1,YellowMemoryBoost_P_037,6072,,,,,,
P-038,GreenMemoryBoost_P_038,6073,,,,,,
P-038_P1,GreenMemoryBoost_P_038,6074,,,,,,
P-039,BlackMemoryBoost_P_039,6075,,,,,,
P-039_P1,BlackMemoryBoost_P_039,6076,,,,,,
P-040,VioletMemoryBoost_P_040,6077,,,,,,
P-040_P1,VioletMemoryBoost_P_040,6078,,,,,,
P-041,Gilmon_P_041,6079,,,,,,
P-041_P1,Gilmon_P_041,6080,,,,,,
P-041_P2,Gilmon_P_041,6081,,,,,,
P-042,Agumon_BT1_010,6082,,,,,,
P-043,Kudamon_P_043,6083,,,,,,
P-043_P1,Kudamon_P_043,6084,,,,,,
P-044,Herakurukabuterimon_P_044,6085,,,,,,
P-045,Kurisarimon_P_045,6086,,,,,,
P-046,Wizzarmon_P_046,6087,,,,,,
P-046_P1,Wizzarmon_P_046,6088,,,,,,
P-047,AirovdramonZero_P_047,6089,,,,,,
P-048,AlforsevdramonZero_P_048,6090,,,,,,
P-049,Hoohmon_P_049,6091,,,,,,
P-050,Wargreymon_P_050,6092,,,,,,
P-051,Metalgarurumon_P_051,6093,,,,,,
P-052,Vikemon_P_052,6094,,,,,,
P-053,Ofanimon_P_053,6095,,,,,,
P-054,Serafimon_P_054,6096,,,,,,
P-055,Herakurukabuterimon_P_055,6097,,,,,,
P-056,Rosemon_P_056,6098,,,,,,
P-057,Tiranomon_P_057,6099,,,,,,
P-058,Gmmamon_P_058,6100,,,,,,
P-059,Gammamon_P_059,6101,,,,,,
P-060,Angoramon_P_060,6102,,,,,,
P-061,Jellymon_P_061,6103,,,,,,
P-062,AmanokawaHiro_P_062,6104,,,,,,
P-063,TsukinoRuli_P_063,6105,,,,,,
P-064,HigashiMitaraiKiyoshirou_P_064,6106,,,,,,
P-065,Gammamon_P_065,6107,,,,,,
P-066,Huckmon_P_066,6108,,,,,,
P-067,Burucomon_P_067,6109,,,,,,
P-068,Erismon_P_068,6110,,,,,,
P-069,Pulsemon_P_069,6111,,,,,,
P-070,Dorumon_P_070,6112,,,,,,
P-071,Inpumon_P_071,6113,,,,,,
P-072,MetalgreymonAltarausMode_P_072,6114,,,,,,
P-073,WargarurumonSajitariusMode_P_073,6115,,,,,,
P-074,Boutmon_P_074,6116,,,,,,
P-075,Ookuwamon_P_075,6117,,,,,,
P-076,Deltamon_P_076,6118,,,,,,
P-077,Wizzarmon_P_077,6119,,,,,,
P-077_P1,Wizzarmon_P_077,6120,,,,,,
P-078,Espimon_P_078,6121,,,,,,
P-079,Agumon_P_079,6122,,,,,,
P-079_P1,Agumon_P_079,6123,,,,,,
P-080,Rabramon_P_080,6124,,,,,,
P-080_P1,Rabramon_P_080,6125,,,,,,
P-081,Falcomon_P_081,6126,,,,,,
P-081_P1,Falcomon_P_081,6127,,,,,,
P-082,Kunemon_P_082,6128,,,,,,
P-083,Floramon_P_083,6129,,,,,,
P-084,Ropmon_P_084,6130,,,,,,
P-085,Dracmon_P_085,6131,,,,,,
P-086,Shakomon_P_086,6132,,,,,,
P-087,KodouRitsu_P_087,6133,,,,,,
P-088,Siriusmon_P_088,6134,,,,,,
P-089,Anfimon_P_089,6135,,,,,,
P-090,Dilbitmon_P_090,6136,,,,,,
P-091,Sabirdramon_P_091,6137,,,,,,
P-092,Dracomon_P_092,6138,,,,,,
P-093,Bastemon_P_093,6139,,,,,,
P-094,Deathtromon_P_094,6140,,,,,,
P-095,NullificationPlugIn_P_095,6141,,,,,,
P-096,PrismGallet_P_096,6142,,,,,,
P-097,Zubamon_P_097,6143,,,,,,
P-098,Seadramon_P_098,6144,,,,,,
P-099,Etemon_P_099,6145,,,,,,
P-100,Kuwagamon_P_100,6146,,,,,,
P-101,Raremon_P_101,6147,,,,,,
P-102,Skullgreymon_P_102,6148,,,,,,
P-103,OffenseTraining_P_103,6149,,,,,,
P-104,MentalTraining_P_104,6150,,,,,,
P-105,PhsicalTraining_P_105,6151,,,,,,
P-106,AgilityTraining_P_106,6152,,,,,,
P-107,DefenseTraining_P_107,6153,,,,,,
P-108,WisdomTraining_P_108,6154,,,,,,
P-109,ImperialdramonDragonModeAce_P_109,6155,,,,,,
P-110,Shadramon_P_110,6156,,,,,,
P-111,Knightmon_P_111,6157,,,,,,
P-112,Morfomon_P_112,6158,,,,,,
P-113,RusttiranomonAce_P_113,6159,,,,,,
P-114,DiaboromonAce_P_114,6160,,,,,,
P-115,Skullknightmon_P_115,6161,,,,,,
P-116,DigimonCon2023_P_116,6162,,,,,,
P-117,Veemon_P_117,6163,,,,,,
P-118,Wormmon_P_118,6164,,,,,,
P-119,Hawkmon_P_119,6165,,,,,,
P-120,Tailmon_P_120,6166,,,,,,
P-121,Armajimon_P_121,6167,,,,,,
P-122,Patamon_P_122,6168,,,,,,
P-123,Ukkomon_P_123,6169,,,,,,
P-124,MotomiyaDaisuke_P_124,6170,,,,,,
P-125,IchijoujiKen_P_125,6171,,,,,,
P-126,InoueMiyako_P_126,6172,,,,,,
P-127,YagamiHikari_P_127,6173,,,,,,
