カード画像ファイル名,効果クラス名,カードIndex,最大枚数,カードID,空欄,1tdAwAJAAFHgjJ0ANqBASh04zLHLUPYD-,,
RB1-001,Dorimon_BT7_005,2862,,,,,,
RB1-002,Puyoyomon_RB1_002,2863,,,,,,
RB1-003,Bosamon_RB1_003,2864,,,,,,
RB1-004,Agumon_P_009,2865,,P-009,,,,
RB1-005,Gammamon_RB1_005,2866,,,,,,
RB1-005_P1,Gammamon_RB1_005,2867,,,,,,
RB1-006,Gmmamon_P_058,2868,,P-058,,,,
RB1-007,Greymon_P_010,2869,,P-010,,,,
RB1-008,Betergammamon_RB1_008,2870,,,,,,
RB1-009,Kanovicemon_RB1_009,2871,,,,,,
RB1-010,Siriusmon_RB1_010,2872,,,,,, 
RB1-010_P1,Siriusmon_RB1_010,2873,,,,,,
RB1-010_P2,Siriusmon_RB1_010,2874,,,,,,
RB1-011,Jellymon_RB1_011,2875,,,,,,
RB1-011_P1,Jellymon_RB1_011,2876,,,,,,
RB1-012,Causgammamon_RB1_012,2877,,,,,,
RB1-013,Tesrajellymon_RB1_013,2878,,,,,,
RB1-014,Tetismon_RB1_014,2879,,,,,,
RB1-015,Fuumamon_RB1_015,2880,,,,,,
RB1-016,Anfimon_RB1_016,2881,,,,,,
RB1-016_P1,Anfimon_RB1_016,2882,,,,,,
RB1-017,Numemon_RB1_017,2883,,,,,,
RB1-018,Monzaemon_RB1_018,2884,,,,,,
RB1-019,Sinmonzaemon_RB1_019,2885,,,,,,
RB1-019_P1,Sinmonzaemon_RB1_019,2886,,,,,,
RB1-020,Angoramon_RB1_020,2887,,,,,,
RB1-020_P1,Angoramon_RB1_020,2888,,,,,,
RB1-021,Wezngammamon_RB1_021,2889,,,,,,
RB1-022,Jimberangoramon_RB1_022,2890,,,,,,
RB1-023,Giridumon_RB1_023,2891,,,,,,
RB1-024,Lamormon_RB1_024,2892,,,,,,
RB1-025,Dilbitmon_RB1_025,2893,,,,,,
RB1-025_P1,Dilbitmon_RB1_025,2894,,,,,,
RB1-026,Espimon_RB1_026,2895,,,,,,
RB1-027,Hoverespimon_RB1_027,2896,,,,,,
RB1-027_P1,Hoverespimon_RB1_027,2897,,,,,,
RB1-028,BlackTailmonUver_RB1_028,2898,,,,,,
RB1-029,Gurusugammamon_RB1_029,2899,,,,,,
RB1-030,Regurusumon_RB1_030,2900,,,,,,
RB1-031,Arkturusmon_RB1_031,2901,,,,,,
RB1-031_P1,Arkturusmon_RB1_031,2902,,,,,,
RB1-032,AmanokawaSora_RB1_032,2903,,,,,,
RB1-032_P1,AmanokawaSora_RB1_032,2904,,,,,,
RB1-033,HigashimitaraiKiyoshirou_RB1_033,2905,,,,,,
RB1-033_P1,HigashimitaraiKiyoshirou_RB1_033,2906,,,,,,
RB1-034,TsukiyonoRuri_RB1_034,2907,,,,,,
RB1-034_P1,TsukiyonoRuri_RB1_034,2908,,,,,,
RB1-035,AmanokawaHokuto_RB1_035,2909,,,,,,
RB1-036,Proximamon_RB1_036,2910,,,,,,
RB1-036_P1,Proximamon_RB1_036,2911,,,,,,
