カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1wu71WsJU_CI4o-bFP-RCaZs6hpEDwO5K
ST1-01,Koromon_ST1_01,1,,,
ST1-02,,2,,,
ST1-02_P1,,3,,,
ST1-02_P2,,4,,,
ST1-02_P3,,5,,,
ST1-03,Agumon_ST1_03,6,,,
ST1-03_P1,Agumon_ST1_03,7,,,
ST1-03_P2,Agumon_ST1_03,8,,,
ST1-03_P3,Agumon_ST1_03,9,,,
ST1-03_P4,Agumon_ST1_03,10,,,
ST1-03_P5,Agumon_ST1_03,11,,,
ST1-03_P6,Agumon_ST1_03,12,,,
ST1-04,,13,,,
ST1-05,,14,,,
ST1-06,Coredramon_ST1_06,15,,,
ST1-06_P1,Coredramon_ST1_06,16,,,
ST1-07,Greymon_ST1_07,17,,,
ST1-07_P1,Greymon_ST1_07,18,,,
ST1-07_P2,Greymon_ST1_07,19,,,
ST1-07_P3,Greymon_ST1_07,20,,,
ST1-08,Garudamon_ST1_08,21,,,
ST1-08_P1,Garudamon_ST1_08,22,,,
ST1-09,MetalGreymon_ST1_09,23,,,
ST1-09_P1,MetalGreymon_ST1_09,24,,,
ST1-09_P2,MetalGreymon_ST1_09,25,,,
ST1-10,,26,,,
ST1-10_P1,,27,,,
ST1-11,WarGreymon_ST1_11,28,,,
ST1-11_P1,WarGreymon_ST1_11,29,,,
ST1-11_P2,WarGreymon_ST1_11,30,,,
ST1-11_P3,WarGreymon_ST1_11,31,,,
ST1-12,YagamiTaichi_ST1_12,32,,,
ST1-12_P1,YagamiTaichi_ST1_12,33,,,
ST1-13,ShadowWing_ST1_13,34,,,
ST1-13_P1,ShadowWing_ST1_13,35,,,
ST1-13_P2,ShadowWing_ST1_13,36,,,
ST1-14,StarlightExplosion_ST1_14,37,,,
ST1-15,GigaDestroyer_ST1_15,38,,,
ST1-16,GaiaForce_ST1_16,39,,,
ST1-16_P1,GaiaForce_ST1_16,40,,,
ST1-16_P2,GaiaForce_ST1_16,41,,,
ST1-16_P3,GaiaForce_ST1_16,42,,,
ST1-16_P4,GaiaForce_ST1_16,43,,,
