カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1hIiwflp-JMMxO2gM8wYGERsni_9LyZ7x
BT2-108_P1,NightRaid_BT2_108,1755,,,
ST10-01,Nyaromon_ST10_01,1756,,,
ST10-02,Patamon_BT8_020,1757,,,
ST10-03,,1758,,,
ST10-04,Tailmon_ST10_04,1759,,,
ST10-05,Angewomon_ST10_05,1760,,,
ST10-05_P1,Angewomon_ST10_05,1761,,,
ST10-06,Mustymon_ST10_06,1762,,,
ST10-06_P1,Mustymon_ST10_06,1763,,,
ST10-06_P2,Mustymon_ST10_06,1764,,,
ST10-07,Ghosmon_ST10_07,1765,,,
ST10-08,Tsukaimon_ST10_08,1766,,,
ST10-09,Witchmon_ST10_09,1767,,,
ST10-10,,1768,,,
ST10-11,Bastemon_ST10_11,1769,,,
ST10-12,Ladydevimon_ST10_12,1770,,,
ST10-12_P1,Ladydevimon_ST10_12,1771,,,
ST10-13,Yunomon_ST10_13,1772,,,
ST10-14,ChaosDigrade_ST10_14,1773,,,
ST10-15,DarknessWave_ST10_15,1774,,,
