カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1_IO0o-a59xAyYZRrzgrA_2S2v7qc5PkJ,,,
ST12-01,Gurimon_ST12_01,2785,,,,,,
ST12-02,,2786,,,,,,
ST12-03,Saikemon_BT8_071,2787,,,,,,
ST12-04,Hackmon_ST12_04,2788,,,,,,
ST12-05,,2789,,,,,,
ST12-06,Baohuckmon_ST12_06,2790,,,,,,
ST12-07,,2791,,,,,,
ST12-08,Saviorhackmon_ST12_08,2792,,,,,,
ST12-09,Volcamon_ST12_09,2793,,,,,,
ST12-10,Jiesmon_ST12_10,2794,,,,,,
ST12-11,Gankuumon_ST12_11,2795,,,,,, 
ST12-12,SistermonBran_ST12_12,2796,,,,,,
ST12-13,SistermonNowaru_ST12_13,2797,,,,,,
ST12-14,AusGenerics_ST12_14,2798,,,,,,
ST12-15,TheJourneyOfTheMasterAndDisciple_ST12_15,2799,,,,,,
ST12-16,EarthquakeLightningFireFather_ST12_16,2800,,,,,,
