カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1a1fnnyQYWafJbIwhvNOFf2iQ3HBmIDIR,,,
ST13-01,Sakuttomon_ST13_01,2801,,,,,,
ST13-02,Zubamon_ST13_02,2802,,,,,,
ST13-03,Zubaigermon_ST13_03,2803,,,,,,
ST13-04,Duramon_ST13_04,2804,,,,,,
ST13-05,Durandamon_ST13_05,2805,,,,,,
ST13-06,Ragnalordmon_ST13_06,2806,,,,,,
ST13-07,,2807,,,,,,
ST13-08,Saikemon_BT8_071,2808,,,,,,
ST13-09,Rudomon_ST13_09,2809,,,,,,
ST13-10,,2810,,,,,,
ST13-11,Tiarudomon_ST13_11,2811,,,,,, 
ST13-12,,2812,,,,,,
ST13-13,Raijirudomon_ST13_13,2813,,,,,,
ST13-14,Vuriueldramon_ST13_14,2814,,,,,,
ST13-15,DirectSmasher_ST13_15,2815,,,,,,
ST13-16,MujunKyoutou_ST13_16,2816,,,,,,
