カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1MRvYoAX4XDtPhrnXx6g0FmSjXXXIkyTV,,,
ST14-01,Yamon_ST14_01,2817,,,,,,
ST14-02,Inpumon_ST14_02,2818,,,,,,
ST14-03,Candmon_ST14_03,2819,,,,,,
ST14-04,Piyomon_ST7_04,2820,,,,,,
ST14-05,Pokyupamon_ST14_05,2821,,,,,,
ST14-06,Witchmon_ST14_06,2822,,,,,,
ST14-07,Baalmon_ST14_07,2823,,,,,,
ST14-08,Belzebmon_ST14_08,2824,,,,,,
ST14-08_P1,Belzebmon_ST14_08,2825,,,,,,
ST14-09,Belstermon_ST14_09,2826,,,,,,
ST14-10,BelzebmonBlastMode_ST14_10,2827,,,,,, 
ST14-11,AiAndMakoto_ST14_11,2828,,,,,,
ST14-12,KenenBadBullet_ST14_12,2829,,,,,,
