カード画像ファイル名,効果クラス名,カードIndex,最大枚数,,空欄,1HKT0JsX5DMtdRkoYn17HxAMKm39ZRNS0,,
ST15-01,Koromon_ST15_01,2830,,,,,,
ST15-02,Agumon_ST15_02,2831,,,,,,
ST15-03,Toyagumon_BT2_055,2832,,,,,,
ST15-04,Solarmon_ST15_04,2833,,,,,,
ST15-05,Toyagumon_ST15_05,2834,,,,,,
ST15-06,Toyagumon_BT2_055,2835,,,,,,
ST15-07,Tiranomon_BT1_016,2836,,,,,,
ST15-08,Greymon_ST15_08,2837,,,,,,
ST15-09,Knightmon_ST15_09,2838,,,,,,
ST15-10,Andromon_ST15_10,2839,,,,,,
ST15-11,Metalgreymon_ST15_11,2840,,,,,, 
ST15-12,WargreymonAce_ST15_12,2841,,,,,,
ST15-13,Highandromon_ST15_13,2842,,,,,,
ST15-14,YagamiTaichi_ST15_14,2843,,,,,,
ST15-15,BravelyProgress_ST15_15,2844,,,,,,
ST15-16,TridentArm_ST15_16,2845,,,,,,
