カード画像ファイル名,効果クラス名,カードIndex,最大枚数,,空欄,1aQG8GW7GoiZWQeELzLz6jHU86L7mK68H,,
ST16-01,Tsunomon_ST16_01,2846,,,,,,
ST16-02,Elekimon_ST16_02,2847,,,,,,
ST16-03,Gabumon_ST16_03,2848,,,,,,
ST16-04,Saverdramon_BT3_080,2849,,,,,,
ST16-05,Gotsumon_ST16_05,2850,,,,,,
ST16-06,Koemon_BT1_031,2851,,,,,,
ST16-07,Meramon_ST16_07,2852,,,,,,
ST16-08,Garurumon_ST16_08,2853,,,,,,
ST16-09,Panpumon_ST16_09,2854,,,,,,
ST16-10,Manmon_ST16_10,2855,,,,,,
ST16-11,Wargarurumon_ST16_11,2856,,,,,, 
ST16-12,Metalgarurumon_ST16_12,2857,,,,,,
ST16-13,Skullmanmon_ST16_13,2858,,,,,,
ST16-14,IshidaYamato_ST16_14,2859,,,,,,
ST16-15,ShoutOfFriendly_ST16_15,2860,,,,,,
ST16-16,BalldyBlow_ST16_16,2861,,,,,,
