カード画像ファイル名,効果クラス名,カードIndex,最大枚数,,空欄,1JsuQ2fpw3gAi1D8W6qwqw6ZFxlR5Z9vd,,
ST17-001,Gummymon_ST17_001,3246,,,,,,
ST17-002,Terriermon_ST17_002,3247,,,,,,
ST17-002_P1,Terriermon_ST17_002,3248,,,,,,
ST17-003,Lopmon_ST17_003,3249,,,,,,
ST17-003_P1,Lopmon_ST17_003,3250,,,,,,
ST17-004,Wendigomon_ST17_004,3251,,,,,,
ST17-004_P1,Wendigomon_ST17_004,3252,,,,,,
ST17-005,Gargomon_ST17_005,3253,,,,,,
ST17-006,Rapidmon_ST17_006,3254,,,,,,
ST17-006_P1,Rapidmon_ST17_006,3255,,,,,,
ST17-007,Rapidmon_ST17_007,3256,,,,,,
ST17-007_P1,Rapidmon_ST17_007,3257,,,,,,
ST17-008,MegaGargomonAce_ST17_008,3258,,,,,,
ST17-008_P1,MegaGargomonAce_ST17_008,3259,,,,,,
ST17-009,Cherubimon_ST17_009,3260,,,,,,
ST17-009_P1,Cherubimon_ST17_009,3261,,,,,,
ST17-010,HenryWong_ST17_010,3262,,,,,, 
ST17-011,DoubleTyphoon_ST17_011,3263,,,,,,
ST17-012,GiantMissle_ST17_012,3264,,,,,,
ST17-013,Magnamon_ST17_013,3265,,,,,,
ST2-15_P1,KaiserNail_ST2_15,3266,,,,,,
BT4-104_P1,Zekkoushou_BT4_104,3267,,,,,,
BT7-105_P1,PrideMemoryBoost_BT7_105,3268,,,,,,
BT8-039_P2,Rapidmon_BT8_039,3269,,,,,,
BT8-091_P2,Worres_BT8_091,3270,,,,,,
BT8-108_P1,MistMemoryBoost_BT8_108,3271,,,,,,
EX2-061_P2,RiJenRya_EX2_061,3272,,,,,,
EX2-067_P1,FireBall_EX2_067,3273,,,,,,
EX4-002_P1,Chokomon_EX4_002,3274,,,,,,
EX4-032_P1,Teriamon_EX4_032,3275,,,,,,
EX4-033_P2,TeriamonAssistant_EX4_033,3276,,,,,,
EX4-034_P1,Ropmon_EX4_034,3277,,,,,,
EX4-057_P1,Antiramon_EX4_057,3278,,,,,,
