カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1zF4CtvHgUg0Fa1MSXAYzLqPwQKjg2JDg
ST2-01,Tsunomon_ST2_01,44,,,
ST2-02,,45,,,
ST2-02_P1,,46,,,
ST2-02_P2,,47,,,
ST2-03,Gabumon_ST2_03,48,,,
ST2-04,,49,,,
ST2-05,,50,,,
ST2-06,Garurumon_ST2_06,51,,,
ST2-06_P1,Garurumon_ST2_06,52,,,
ST2-07,Coredramon_ST1_06,53,,,
ST2-07_P1,Coredramon_ST1_06,54,,,
ST2-07_P2,Coredramon_ST1_06,55,,,
ST2-08,Wargarurumon_ST2_08,56,,,
ST2-08_P1,Wargarurumon_ST2_08,57,,,
ST2-08_P2,Wargarurumon_ST2_08,58,,,
ST2-09,Zudomon_ST2_09,59,,,
ST2-09_P1,Zudomon_ST2_09,60,,,
ST2-10,,61,,,
ST2-11,Metalgarurumon_ST2_11,62,,,
ST2-11_P1,Metalgarurumon_ST2_11,63,,,
ST2-11_P2,Metalgarurumon_ST2_11,64,,,
ST2-12,IshidaYamato_ST2_12,65,,,
ST2-13,HammerSpark_ST2_13,66,,,
ST2-13_P1,HammerSpark_ST2_13,67,,,
ST2-13_P2,HammerSpark_ST2_13,68,,,
ST2-13_P3,HammerSpark_ST2_13,69,,,
ST2-14,SollowBlue_ST2_14,70,,,
ST2-15,KaiserNail_ST2_15,71,,,
ST2-16,CocytusBreath_ST2_16,72,,,
ST2-16_P1,CocytusBreath_ST2_16,73,,,
ST2-16_P2,CocytusBreath_ST2_16,74,,,
