カード画像ファイル名,効果クラス名,カードIndex,最大枚数,,空欄,1RrJr2ao4E9uYRZoLQM2KXYyvND-TX3z5
ST3-01,Tokomon_ST3_01,75,,,,
ST3-02,,76,,,,
ST3-02_P1,,77,,,,
ST3-03,,78,,,,
ST3-04,Patamon_ST3_04,79,,,,
ST3-04_P1,Patamon_ST3_04,80,,,,
ST3-04_P2,Patamon_ST3_04,81,,,,
ST3-04_P3,Patamon_ST3_04,82,,,,
ST3-05,Angemon_ST3_05,83,,,,
ST3-05_P1,Angemon_ST3_05,84,,,,
ST3-05_P2,Angemon_ST3_05,85,,,,
ST3-06,,86,,,,
ST3-07,Coredramon_ST1_06,87,,,,
ST3-07_P1,Coredramon_ST1_06,88,,,,
ST3-07_P2,Coredramon_ST1_06,89,,,,
ST3-08,Holyangemon_ST3_08,90,,,,
ST3-08_P1,Holyangemon_ST3_08,91,,,,
ST3-08_P2,Holyangemon_ST3_08,92,,,,
ST3-09,Angewomon_ST3_09,93,,,,
ST3-09_P1,Angewomon_ST3_09,94,,,,
ST3-10,,95,,,,
ST3-11,Seraphimon_ST3_11,96,,,,
ST3-12,TakaishiTakeru_ST3_12,97,,,,
ST3-12_P1,TakaishiTakeru_ST3_12,98,,,,
ST3-13,HeavensGate_ST3_13,99,,,,
ST3-13_P1,HeavensGate_ST3_13,100,,,,
ST3-13_P2,HeavensGate_ST3_13,101,,,,
ST3-14,HeavensCharm_ST3_14,102,,,,
ST3-14_P1,HeavensCharm_ST3_14,103,,,,
ST3-14_P2,HeavensCharm_ST3_14,104,,,,
ST3-15,HolyFrame_ST3_15,105,,,,
ST3-16,SevenHeavens_ST3_16,106,,,,
