カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1IrjflUfXU8-QGn7ByGIQchQ1_AJPs1_P
ST4-01,Mochimon_ST4_01,107,,,
ST4-02,,108,,,
ST4-03,Tentomon_ST4_03,109,,,
ST4-03_P1,Tentomon_ST4_03,110,,,
ST4-03_P2,Tentomon_ST4_03,111,,,
ST4-04,Parumon_ST4_04,112,,,
ST4-04_P1,Parumon_ST4_04,113,,,
ST4-05,,114,,,
ST4-06,Parumon_ST4_04,115,,,
ST4-07,,116,,,
ST4-08,Coredramon_ST1_06,117,,,
ST4-08_P1,Coredramon_ST1_06,118,,,
ST4-08_P2,Coredramon_ST1_06,119,,,
ST4-08_P3,Coredramon_ST1_06,120,,,
ST4-08_P4,Coredramon_ST1_06,121,,,
ST4-08_P5,Coredramon_ST1_06,122,,,
ST4-09,,123,,,
ST4-10,Lilymon_ST4_10,124,,,
ST4-10_P1,Lilymon_ST4_10,125,,,
ST4-11,Atolerkabuterimon_ST4_11,126,,,
ST4-12,Rosemon_ST4_12,127,,,
ST4-13,Herakurukabuterimon_ST4_13,128,,,
ST4-13_P1,Herakurukabuterimon_ST4_13,129,,,
ST4-14,IzumiKoushirou_ST4_14,130,,,
ST4-15,Chikuchikubanban_ST4_15,131,,,
ST4-16,Megabruster_ST4_16,132,,,
