カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1L_A44NpoDP1kmWVGX-MBwSV_y2fOBvZ3
ST5-01,Kapurimon_ST5_01,320,,,
ST5-02,,321,,,
ST5-03,Koemon_BT1_031,322,,,
ST5-03_P1,Koemon_BT1_031,323,,,
ST5-04,Toyagumon_ST5_04,324,,,
ST5-05,,325,,,
ST5-06,Toyagumon_ST5_04,326,,,
ST5-07,,327,,,
ST5-08,Coredramon_ST1_06,328,,,
ST5-08_P1,Coredramon_ST1_06,329,,,
ST5-09,Metalgreymon_ST5_09,330,,,
ST5-10,,331,,,
ST5-11,Megadramon_ST5_11,332,,,
ST5-12,Mugendramon_ST5_12,333,,,
ST5-12_P1,Mugendramon_ST5_12,334,,,
ST5-13,Blitzgreymon_ST5_13,335,,,
ST5-14,YagamiTaichi_ST5_14,336,,,
ST5-15,LaserEye_ST5_15,337,,,
ST5-16,GenocideAttack_ST5_16,338,,,
