カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1-_iC3sJmEmbGkHpIcIdKwP0Z4gg4Xsz9
ST6-01,Pagumon_ST6_01,339,,,
ST6-01_P1,Pagumon_ST6_01,340,,,
ST6-02,,341,,,
ST6-03,Gabumon_ST6_03,342,,,
ST6-04,Dorakumon_ST6_04,343,,,
ST6-05,,344,,,
ST6-06,Gabumon_ST6_03,345,,,
ST6-07,,346,,,
ST6-08,Coredramon_ST1_06,347,,,
ST6-08_P1,Coredramon_ST1_06,348,,,
ST6-08_P2,Coredramon_ST1_06,349,,,
ST6-08_P3,Coredramon_ST1_06,350,,,
ST6-09,,351,,,
ST6-10,Skullsatamon_ST6_10,352,,,
ST6-11,Wargarurumon_ST6_11,353,,,
ST6-12,Venomvandemon_ST6_12,354,,,
ST6-13,Kuresgarurumon_ST6_13,355,,,
ST6-14,IshidaYamato_ST6_14,356,,,
ST6-14_P1,IshidaYamato_ST6_14,357,,,
ST6-15,DeathClaw_ST6_15,358,,,
ST6-16,NailBone_ST6_16,359,,,
