カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,12BF6b8zzlHPx0rre_Shey9z04HStkPsz
ST7-01,Gigimon_ST7_01,563,,,
ST7-02,Agumon_ST7_02,564,,,
ST7-02_P1,Agumon_ST7_02,565,,,
ST7-03,Gilmon_ST7_03,566,,,
ST7-03_P1,Gilmon_ST7_03,567,,,
ST7-03_P2,Gilmon_ST7_03,568,,,
ST7-03_P3,Gilmon_ST7_03,569,,,
ST7-03_P4,Gilmon_ST7_03,570,,,
ST7-04,Piyomon_ST7_04,571,,,
ST7-05,Graumon_ST7_05,572,,,
ST7-05_P1,Graumon_ST7_05,573,,,
ST7-06,Geogreymon_ST7_06,574,,,
ST7-06_P1,Geogreymon_ST7_06,575,,,
ST7-06_P2,Geogreymon_ST7_06,576,,,
ST7-06_P3,Geogreymon_ST7_06,577,,,
ST7-06_P4,Geogreymon_ST7_06,578,,,
ST7-07,Risegreymon_ST7_07,579,,,
ST7-08,Megarograumon_ST7_08,580,,,
ST7-08_P1,Megarograumon_ST7_08,581,,,
ST7-09,Dukemon_ST7_09,582,,,
ST7-10,Shinegreymon_ST7_10,583,,,
ST7-11,RoyalSaber_ST7_11,584,,,
ST7-11_P1,RoyalSaber_ST7_11,585,,,
ST7-12,AtomicBluster_ST7_11,586,,,
