カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1xVXHFkJhNdDiWZwL2tDqmgwg_Y74s9OS
ST8-01,Chibimon_ST8_01,1710,,,
ST8-02,Gabumon_ST8_02,1711,,,
ST8-03,Drakomon_ST8_03,1712,,,
ST8-03_P1,Drakomon_ST8_03,1713,,,
ST8-04,Veemon_ST8_04,1714,,,
ST8-04_P1,Veemon_ST8_04,1715,,,
ST8-04_P2,Veemon_ST8_04,1716,,,
ST8-04_P3,Veemon_ST8_04,1717,,,
ST8-04_P4,Veemon_ST8_04,1718,,,
ST8-05,Vdramon_ST8_05,1719,,,
ST8-06,Coredramon_ST8_06,1720,,,
ST8-06_P1,Coredramon_ST8_06,1721,,,
ST8-06_P2,Coredramon_ST8_06,1722,,,
ST8-06_P3,Coredramon_ST8_06,1723,,,
ST8-07,Koemon_BT1_031,1724,,,
ST8-08,Aerovdramon_ST8_08,1725,,,
ST8-09,Slayerdramon_ST8_09,1726,,,
ST8-10,Alforsevdramon_ST8_10,1727,,,
ST8-11,AlforseSaber_ST8_11,1728,,,
ST8-12,VWingBlade_ST8_12,1729,,,
