カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1VhfnBlPESyDfSFrGBXRFCdnbfdXY6lHS
ST9-01,Minomon_ST9_01,1730,,,
ST9-02,Veemon_ST9_02,1731,,,
ST9-02_P1,Veemon_ST9_02,1732,,,
ST9-03,,1733,,,
ST9-04,Exveemon_ST9_04,1734,,,
ST9-04_P1,Exveemon_ST9_04,1735,,,
ST9-04_P2,Exveemon_ST9_04,1736,,,
ST9-04_P3,Exveemon_ST9_04,1737,,,
ST9-05,Piledramon_ST9_05,1738,,,
ST9-05_P1,Piledramon_ST9_05,1739,,,
ST9-05_P2,Piledramon_ST9_05,1740,,,
ST9-05_P3,Piledramon_ST9_05,1741,,,
ST9-05_P4,Piledramon_ST9_05,1742,,,
ST9-06,ImperialdramonDragonMode_ST9_06,1743,,,
ST9-06_P1,ImperialdramonDragonMode_ST9_06,1744,,,
ST9-07,Kokabuterimon_ST9_07,1745,,,
ST9-08,Patamon_BT8_020,1746,,,
ST9-09,Stingmon_ST9_09,1747,,,
ST9-10,Snaimon_ST9_10,1748,,,
ST9-11,Dinobeemon_ST9_11,1749,,,
ST9-12,,1750,,,
ST9-13,Grankuwagamon_ST9_13,1751,,,
ST9-14,MegaDeath_ST9_14,1752,,,
ST9-15,HellMascarade_ST9_15,1753,,,
BT1-110_P4,FlowerCunon_BT1_110,1754,,,
